Year,City,Rooms,Rent per m2,Rental apartment count,Sales price per m2,Sold apartments count,Rent €/mo vs. sales price k€ per m2
2013,Oulu,1,13.7,2658,2067,306,6.627963231736816
2013,Oulu,2,10.9,3045,1772,851,6.1512415349887135
2013,Oulu,3,9.66,1150,1763,577,5.479296653431651
2013,Rovaniemi,1,13.82,871,1918,104,7.205422314911367
2013,Rovaniemi,2,11.13,1045,1624,230,6.853448275862069
2013,Rovaniemi,3,9.41,422,1419,150,6.631430584918957
2014,Helsinki,1,21.55,9710,5353,2325,4.025779936484215
2014,Helsinki,2,16.36,6623,4365,3681,3.747995418098511
2014,Helsinki,3,14.31,2540,4181,3041,3.422626165988998
2014,Espoo-Kauniainen,1,18.0,1432,3973,304,4.530581424616159
2014,Espoo-Kauniainen,2,15.49,1578,3449,874,4.491156857060017
2014,Espoo-Kauniainen,3,13.37,785,3106,954,4.304571796522859
2014,Vantaa,1,16.85,1650,3470,325,4.855907780979828
2014,Vantaa,2,14.34,1836,2860,873,5.013986013986013
2014,Vantaa,3,13.03,971,2560,688,5.08984375
2014,Porvoo,1,14.77,398,2922,69,5.054757015742641
2014,Porvoo,2,11.74,354,2380,135,4.932773109243698
2014,Porvoo,3,10.24,185,2266,96,4.518976169461606
2014,Tampere,1,15.7,4954,2996,655,5.240320427236314
2014,Tampere,2,12.54,4197,2525,1338,4.966336633663365
2014,Tampere,3,11.01,1485,2380,897,4.626050420168068
2014,Turku,1,14.98,4630,2696,501,5.5563798219584575
2014,Turku,2,11.47,3346,2124,1219,5.400188323917138
2014,Turku,3,9.99,1236,1971,913,5.068493150684932
2014,Pori,1,12.51,1545,1631,164,7.6701410177805025
2014,Pori,2,9.92,1677,1464,392,6.775956284153006
2014,Pori,3,8.71,678,1534,225,5.677966101694916
2014,Lappeenranta,1,14.21,720,2070,138,6.8647342995169085
2014,Lappeenranta,2,11.24,758,1853,291,6.06583917970858
2014,Lappeenranta,3,9.51,268,1843,159,5.160065111231687
2014,Kotka,1,12.92,905,1298,115,9.953775038520801
2014,Kotka,2,10.26,905,1288,255,7.965838509316771
2014,Kotka,3,8.89,309,1374,114,6.4701601164483264
2014,Kouvola,1,11.85,1039,1147,124,10.331299040976461
2014,Kouvola,2,9.73,1039,1138,262,8.550087873462216
2014,Kouvola,3,8.64,408,1182,170,7.309644670050762
2014,Lahti,1,14.78,1923,2221,244,6.654660063034668
2014,Lahti,2,11.73,1862,1871,681,6.269374665954035
2014,Lahti,3,10.33,577,1829,421,5.647895024603608
2014,Hämeenlinna,1,14.03,721,2167,122,6.47438855560683
2014,Hämeenlinna,2,11.4,763,1965,259,5.801526717557252
2014,Hämeenlinna,3,10.15,289,1918,175,5.291970802919709
2014,Kuopio,1,15.13,1573,2563,177,5.903238392508779
2014,Kuopio,2,12.03,1773,2098,536,5.734032411820781
2014,Kuopio,3,10.66,522,1983,348,5.375693393847706
2014,Jyväskylä,1,15.6,2044,2184,323,7.142857142857142
2014,Jyväskylä,2,11.73,2685,1823,772,6.434448710916072
2014,Jyväskylä,3,10.56,802,1691,426,6.244825547013602
2014,Vaasa,1,13.96,887,2368,145,5.895270270270271
2014,Vaasa,2,10.81,977,2027,271,5.333004440059201
2014,Vaasa,3,9.47,364,1928,236,4.911825726141079
2014,Seinäjoki,1,13.23,630,2278,52,5.807726075504829
2014,Seinäjoki,2,10.82,894,1965,163,5.506361323155216
2014,Seinäjoki,3,9.43,373,2017,111,4.675260287555775
2014,Mikkeli,1,13.39,583,2109,79,6.348980559506876
2014,Mikkeli,2,10.72,597,1922,182,5.577523413111343
2014,Mikkeli,3,9.59,290,1786,105,5.369540873460246
2014,Joensuu,1,14.72,1262,2655,117,5.544256120527307
2014,Joensuu,2,11.16,1242,2149,230,5.193113075849232
2014,Joensuu,3,9.74,474,1873,148,5.200213561131874
2014,Oulu,1,14.04,3015,2124,297,6.610169491525424
2014,Oulu,2,11.01,3324,1770,743,6.220338983050847
2014,Oulu,3,9.82,1307,1788,483,5.492170022371364
2014,Rovaniemi,1,14.05,974,1699,145,8.269570335491467
2014,Rovaniemi,2,11.21,1121,1542,242,7.2697795071335936
2014,Rovaniemi,3,9.67,467,1573,147,6.147488874761602
2015,Helsinki,1,22.97,34702,5439,2761,4.223202794631366
2015,Helsinki,2,15.97,27355,4434,4065,3.60171402796572
2015,Helsinki,3,14.78,11993,4248,3289,3.4792843691148776
2015,Espoo-Kauniainen,1,19.74,6202,3959,414,4.986107602930033
2015,Espoo-Kauniainen,2,14.89,9814,3394,974,4.3871538008249855
2015,Espoo-Kauniainen,3,13.78,5859,3069,1058,4.490061909416748
2015,Vantaa,1,18.73,6626,3309,484,5.660320338470838
2015,Vantaa,2,14.87,12335,2625,953,5.664761904761904
2015,Vantaa,3,14.01,7107,2284,757,6.133975481611208
2015,Porvoo,1,16.14,1363,2601,104,6.205305651672434
2015,Porvoo,2,11.6,1831,2390,153,4.853556485355648
2015,Porvoo,3,11.2,660,2363,115,4.739737621667372
2015,Turku,1,15.27,14256,2786,510,5.480976310122038
2015,Turku,2,10.59,11337,2137,1262,4.955545156761816
2015,Turku,3,9.75,3473,1935,872,5.038759689922481
2015,Pori,1,13.13,3530,1642,186,7.996345919610232
2015,Pori,2,9.56,3826,1375,319,6.952727272727273
2015,Pori,3,8.88,1320,1447,212,6.136834830684175
2015,Hämeenlinna,1,15.13,2362,2277,236,6.644707949055776
2015,Hämeenlinna,2,11.8,2461,1976,316,5.97165991902834
2015,Hämeenlinna,3,11.13,856,1926,199,5.778816199376947
2015,Tampere,1,16.44,17996,2969,671,5.537217918491074
2015,Tampere,2,11.65,16266,2493,1400,4.673084636983553
2015,Tampere,3,10.99,5084,2349,998,4.678586632609621
2015,Lahti,1,15.2,6603,2146,279,7.082945013979496
2015,Lahti,2,11.67,6526,1851,712,6.304700162074554
2015,Lahti,3,10.54,1692,1869,467,5.639379347244515
2015,Kotka,1,13.31,2402,1239,108,10.742534301856336
2015,Kotka,2,10.33,1882,1241,258,8.323932312651088
2015,Kotka,3,9.42,526,1347,140,6.993318485523385
2015,Kouvola,1,12.31,2560,1129,152,10.903454384410983
2015,Kouvola,2,9.82,2484,1183,301,8.300929839391378
2015,Kouvola,3,9.55,837,1210,144,7.892561983471075
2015,Lappeenranta,1,14.51,1897,2051,121,7.074597757191613
2015,Lappeenranta,2,11.25,2077,1858,248,6.054897739504844
2015,Lappeenranta,3,10.39,642,1826,160,5.690032858707558
2015,Mikkeli,1,14.89,1663,2054,68,7.2492697176241485
2015,Mikkeli,2,9.76,1333,1875,193,5.205333333333334
2015,Mikkeli,3,9.32,516,1723,126,5.409170052234475
2015,Kuopio,1,15.93,5342,2553,217,6.239717978848414
2015,Kuopio,2,11.03,5874,2083,547,5.295247239558329
2015,Kuopio,3,10.43,1511,2009,333,5.19163763066202
2015,Joensuu,1,15.04,4230,2593,124,5.8002313922097954
2015,Joensuu,2,9.89,3534,2100,223,4.7095238095238106
2015,Joensuu,3,9.6,898,1883,147,5.098247477429633
2015,Jyväskylä,1,15.71,7418,2382,367,6.595298068849707
2015,Jyväskylä,2,11.08,9718,1985,853,5.581863979848866
2015,Jyväskylä,3,10.37,2816,1950,441,5.317948717948717
2015,Seinäjoki,1,13.58,1998,2279,65,5.958753839403247
2015,Seinäjoki,2,9.97,2420,2008,168,4.9651394422310755
2015,Seinäjoki,3,9.38,864,1832,105,5.120087336244541
2015,Vaasa,1,14.41,2547,2530,134,5.695652173913044
2015,Vaasa,2,9.43,2240,2041,301,4.6202841744243015
2015,Vaasa,3,8.38,636,1945,272,4.308483290488432
2015,Oulu,1,14.3,10122,2212,286,6.464737793851719
2015,Oulu,2,10.58,10148,1907,726,5.547981122181437
2015,Oulu,3,9.82,3455,1839,494,5.339858618814573
2015,Rovaniemi,1,14.73,2767,2088,113,7.054597701149425
2015,Rovaniemi,2,10.59,3026,1595,259,6.639498432601881
2015,Rovaniemi,3,10.28,1150,1563,155,6.577095329494561
2016,Helsinki,1,23.71,29214,5660,2356,4.18904593639576
2016,Helsinki,2,16.69,23440,4536,4136,3.6794532627865966
2016,Helsinki,3,15.57,11080,4334,3249,3.5925242270419933
2016,Espoo-Kauniainen,1,20.61,5874,4087,339,5.0428186934181545
2016,Espoo-Kauniainen,2,15.52,9401,3471,970,4.471333909536156
2016,Espoo-Kauniainen,3,14.34,5756,3193,1061,4.491074224866896
2016,Vantaa,1,19.43,6025,3303,296,5.882531032394793
2016,Vantaa,2,15.45,11813,2633,966,5.867831371059628
2016,Vantaa,3,14.48,7056,2306,750,6.279271465741544
2016,Porvoo,1,16.52,1131,2918,71,5.661411925976696
2016,Porvoo,2,11.87,1479,2556,172,4.64397496087637
2016,Porvoo,3,11.81,578,2563,119,4.607881388997269
2016,Turku,1,15.67,12598,3008,515,5.209441489361701
2016,Turku,2,11.11,9450,2216,1254,5.013537906137183
2016,Turku,3,10.14,2965,1990,1035,5.0954773869346734
2016,Pori,1,13.42,3078,1648,196,8.143203883495145
2016,Pori,2,9.87,3124,1430,339,6.902097902097902
2016,Pori,3,9.2,1074,1513,269,6.080634500991407
2016,Hämeenlinna,1,15.51,1917,2073,130,7.481910274963821
2016,Hämeenlinna,2,12.21,2118,1917,289,6.3693270735524266
2016,Hämeenlinna,3,11.25,760,1914,154,5.877742946708464
2016,Tampere,1,16.73,14649,3146,673,5.317863954227591
2016,Tampere,2,11.97,13285,2551,1477,4.6922775382203055
2016,Tampere,3,11.32,4445,2425,1026,4.668041237113402
2016,Lahti,1,15.64,5833,2193,256,7.131782945736434
2016,Lahti,2,12.41,5368,1780,718,6.971910112359551
2016,Lahti,3,11.23,1476,1786,474,6.287793952967525
2016,Kotka,1,13.49,1975,1232,143,10.949675324675326
2016,Kotka,2,10.39,1472,1221,235,8.509418509418511
2016,Kotka,3,9.68,473,1349,144,7.175685693106004
2016,Kouvola,1,12.46,2246,1102,112,11.306715063520873
2016,Kouvola,2,10.0,1931,1103,244,9.066183136899365
2016,Kouvola,3,9.61,688,1105,154,8.696832579185521
2016,Lappeenranta,1,14.79,1706,2105,135,7.026128266033254
2016,Lappeenranta,2,11.91,1728,1817,319,6.554760594386352
2016,Lappeenranta,3,10.41,547,1856,150,5.608836206896552
2016,Mikkeli,1,14.91,1418,2134,88,6.986879100281162
2016,Mikkeli,2,10.05,1024,1872,192,5.368589743589744
2016,Mikkeli,3,9.63,349,1555,138,6.192926045016077
2016,Kuopio,1,16.19,4681,2517,196,6.432260627731427
2016,Kuopio,2,11.61,4637,2058,538,5.64139941690962
2016,Kuopio,3,10.91,1291,1996,347,5.465931863727455
2016,Joensuu,1,15.4,3625,2605,121,5.911708253358925
2016,Joensuu,2,10.26,2711,2148,237,4.776536312849162
2016,Joensuu,3,9.83,693,1969,140,4.992381919756221
