"Vuosi";"Alue";"Huoneluku";"Rahoitusmuoto";"Lukumäärä";"Neliövuokra (eur/m2)"
"2016";"Satakunta";"Kolmiot+";"Vapaarahoitteinen";1622;8.83
"2016";"Pori";"Yksiöt";"Vapaarahoitteinen";3078;13.42
"2016";"Pori";"Kaksiot";"Vapaarahoitteinen";3124;9.87
"2016";"Pori";"Kolmiot+";"Vapaarahoitteinen";1074;9.20
"2016";"Pori 1";"Yksiöt";"Vapaarahoitteinen";2026;14.05
"2016";"Pori 1";"Kaksiot";"Vapaarahoitteinen";1651;10.44
"2016";"Pori 1";"Kolmiot+";"Vapaarahoitteinen";585;9.56
"2016";"Pori 2";"Yksiöt";"Vapaarahoitteinen";1052;12.39
"2016";"Pori 2";"Kaksiot";"Vapaarahoitteinen";1473;9.25
"2016";"Pori 2";"Kolmiot+";"Vapaarahoitteinen";489;8.81
"2016";"Rauma";"Yksiöt";"Vapaarahoitteinen";922;12.55
"2016";"Rauma";"Kaksiot";"Vapaarahoitteinen";907;9.39
"2016";"Rauma";"Kolmiot+";"Vapaarahoitteinen";270;8.81
"2016";"Kanta-Häme";"Yksiöt";"Vapaarahoitteinen";3966;14.09
"2016";"Kanta-Häme";"Kaksiot";"Vapaarahoitteinen";3488;11.34
"2016";"Kanta-Häme";"Kolmiot+";"Vapaarahoitteinen";1309;10.74
"2016";"Hämeenlinna";"Yksiöt";"Vapaarahoitteinen";1917;15.51
"2016";"Hämeenlinna";"Kaksiot";"Vapaarahoitteinen";2118;12.21
"2016";"Hämeenlinna";"Kolmiot+";"Vapaarahoitteinen";760;11.25
"2016";"Hämeenlinna 1";"Yksiöt";"Vapaarahoitteinen";1292;16.29
"2016";"Hämeenlinna 1";"Kaksiot";"Vapaarahoitteinen";1076;12.73
"2016";"Hämeenlinna 1";"Kolmiot+";"Vapaarahoitteinen";281;11.82
"2016";"Hämeenlinna 2";"Yksiöt";"Vapaarahoitteinen";625;14.25
"2016";"Hämeenlinna 2";"Kaksiot";"Vapaarahoitteinen";1042;11.64
"2016";"Hämeenlinna 2";"Kolmiot+";"Vapaarahoitteinen";479;10.82
"2016";"Riihimäki";"Yksiöt";"Vapaarahoitteinen";972;14.26
"2016";"Riihimäki";"Kaksiot";"Vapaarahoitteinen";533;10.71
"2016";"Riihimäki";"Kolmiot+";"Vapaarahoitteinen";241;10.65
"2016";"Pirkanmaa";"Yksiöt";"Vapaarahoitteinen";17679;15.73
"2016";"Pirkanmaa";"Kaksiot";"Vapaarahoitteinen";15879;11.43
"2016";"Pirkanmaa";"Kolmiot+";"Vapaarahoitteinen";5476;10.76
"2016";"Tampere";"Yksiöt";"Vapaarahoitteinen";14649;16.73
"2016";"Tampere";"Kaksiot";"Vapaarahoitteinen";13285;11.97
"2016";"Tampere";"Kolmiot+";"Vapaarahoitteinen";4445;11.32
"2016";"Tampere 1";"Yksiöt";"Vapaarahoitteinen";6936;17.17
"2016";"Tampere 1";"Kaksiot";"Vapaarahoitteinen";4760;11.96
"2016";"Tampere 1";"Kolmiot+";"Vapaarahoitteinen";1115;11.62
"2016";"Tampere 2";"Yksiöt";"Vapaarahoitteinen";1855;15.95
"2016";"Tampere 2";"Kaksiot";"Vapaarahoitteinen";2628;12.39
"2016";"Tampere 2";"Kolmiot+";"Vapaarahoitteinen";1008;11.36
"2016";"Tampere 3";"Yksiöt";"Vapaarahoitteinen";5858;16.32
"2016";"Tampere 3";"Kaksiot";"Vapaarahoitteinen";5897;11.78
"2016";"Tampere 3";"Kolmiot+";"Vapaarahoitteinen";2322;11.03
"2016";"Päijät-Häme";"Yksiöt";"Vapaarahoitteinen";7254;14.59
"2016";"Päijät-Häme";"Kaksiot";"Vapaarahoitteinen";6608;11.73
"2016";"Päijät-Häme";"Kolmiot+";"Vapaarahoitteinen";1977;10.71
"2016";"Lahti";"Yksiöt";"Vapaarahoitteinen";5833;15.64
"2016";"Lahti";"Kaksiot";"Vapaarahoitteinen";5368;12.41
"2016";"Lahti";"Kolmiot+";"Vapaarahoitteinen";1476;11.23
"2016";"Lahti 1";"Yksiöt";"Vapaarahoitteinen";2701;16.39
"2016";"Lahti 1";"Kaksiot";"Vapaarahoitteinen";1693;13.63
"2016";"Lahti 1";"Kolmiot+";"Vapaarahoitteinen";499;11.97
"2016";"Lahti 2";"Yksiöt";"Vapaarahoitteinen";3132;14.66
"2016";"Lahti 2";"Kaksiot";"Vapaarahoitteinen";3675;11.12
"2016";"Lahti 2";"Kolmiot+";"Vapaarahoitteinen";977;10.34
"2016";"Kymenlaakso";"Yksiöt";"Vapaarahoitteinen";4546;12.83
"2016";"Kymenlaakso";"Kaksiot";"Vapaarahoitteinen";3720;10.14
"2016";"Kymenlaakso";"Kolmiot+";"Vapaarahoitteinen";1288;9.53
"2016";"Kotka";"Yksiöt";"Vapaarahoitteinen";1975;13.49
"2016";"Kotka";"Kaksiot";"Vapaarahoitteinen";1472;10.39
"2016";"Kotka";"Kolmiot+";"Vapaarahoitteinen";473;9.68
"2016";"Kotka 1";"Yksiöt";"Vapaarahoitteinen";978;14.65
"2016";"Kotka 1";"Kaksiot";"Vapaarahoitteinen";776;11.16
"2016";"Kotka 1";"Kolmiot+";"Vapaarahoitteinen";135;9.84
"2016";"Kotka 2";"Yksiöt";"Vapaarahoitteinen";997;12.31
"2016";"Kotka 2";"Kaksiot";"Vapaarahoitteinen";696;9.47
"2016";"Kotka 2";"Kolmiot+";"Vapaarahoitteinen";338;9.59
"2016";"Kouvola";"Yksiöt";"Vapaarahoitteinen";2246;12.46
"2016";"Kouvola";"Kaksiot";"Vapaarahoitteinen";1931;10.00
"2016";"Kouvola";"Kolmiot+";"Vapaarahoitteinen";688;9.61
"2016";"Etelä-Karjala";"Yksiöt";"Vapaarahoitteinen";2519;14.01
"2016";"Etelä-Karjala";"Kaksiot";"Vapaarahoitteinen";2399;11.16
"2016";"Etelä-Karjala";"Kolmiot+";"Vapaarahoitteinen";784;9.94
"2016";"Lappeenranta";"Yksiöt";"Vapaarahoitteinen";1706;14.79
"2016";"Lappeenranta";"Kaksiot";"Vapaarahoitteinen";1728;11.91
"2016";"Lappeenranta";"Kolmiot+";"Vapaarahoitteinen";547;10.41
"2016";"Lappeenranta 1";"Yksiöt";"Vapaarahoitteinen";749;15.78
"2016";"Lappeenranta 1";"Kaksiot";"Vapaarahoitteinen";566;13.00
"2016";"Lappeenranta 1";"Kolmiot+";"Vapaarahoitteinen";151;11.01
"2016";"Lappeenranta 2";"Yksiöt";"Vapaarahoitteinen";957;13.42
"2016";"Lappeenranta 2";"Kaksiot";"Vapaarahoitteinen";1162;10.56
"2016";"Lappeenranta 2";"Kolmiot+";"Vapaarahoitteinen";396;9.91
"2016";"Etelä-Savo";"Yksiöt";"Vapaarahoitteinen";3013;13.36
"2016";"Etelä-Savo";"Kaksiot";"Vapaarahoitteinen";2448;9.62
"2016";"Etelä-Savo";"Kolmiot+";"Vapaarahoitteinen";688;9.23
"2016";"Mikkeli";"Yksiöt";"Vapaarahoitteinen";1418;14.91
"2016";"Mikkeli";"Kaksiot";"Vapaarahoitteinen";1024;10.05
"2016";"Mikkeli";"Kolmiot+";"Vapaarahoitteinen";349;9.63
"2016";"Pohjois-Savo";"Yksiöt";"Vapaarahoitteinen";6513;14.48
"2016";"Pohjois-Savo";"Kaksiot";"Vapaarahoitteinen";6450;10.81
"2016";"Pohjois-Savo";"Kolmiot+";"Vapaarahoitteinen";1836;10.26
"2016";"Kuopio";"Yksiöt";"Vapaarahoitteinen";4681;16.19
"2016";"Kuopio";"Kaksiot";"Vapaarahoitteinen";4637;11.61
"2016";"Kuopio";"Kolmiot+";"Vapaarahoitteinen";1291;10.91
"2016";"Kuopio 1";"Yksiöt";"Vapaarahoitteinen";2804;17.35
"2016";"Kuopio 1";"Kaksiot";"Vapaarahoitteinen";2013;11.87
"2016";"Kuopio 1";"Kolmiot+";"Vapaarahoitteinen";556;10.65
"2016";"Kuopio 2";"Yksiöt";"Vapaarahoitteinen";1877;15.11
"2016";"Kuopio 2";"Kaksiot";"Vapaarahoitteinen";2624;11.40
"2016";"Kuopio 2";"Kolmiot+";"Vapaarahoitteinen";735;11.06
"2016";"Pohjois-Karjala";"Yksiöt";"Vapaarahoitteinen";4304;14.03
"2016";"Pohjois-Karjala";"Kaksiot";"Vapaarahoitteinen";3471;9.87
"2016";"Pohjois-Karjala";"Kolmiot+";"Vapaarahoitteinen";920;9.36
"2016";"Joensuu";"Yksiöt";"Vapaarahoitteinen";3625;15.40
"2016";"Joensuu";"Kaksiot";"Vapaarahoitteinen";2711;10.26
"2016";"Joensuu";"Kolmiot+";"Vapaarahoitteinen";693;9.83
"2016";"Joensuu 1";"Yksiöt";"Vapaarahoitteinen";2831;15.93
"2016";"Joensuu 1";"Kaksiot";"Vapaarahoitteinen";1807;10.33
"2016";"Joensuu 1";"Kolmiot+";"Vapaarahoitteinen";419;9.92
"2016";"Joensuu 2";"Yksiöt";"Vapaarahoitteinen";794;13.94
"2016";"Joensuu 2";"Kaksiot";"Vapaarahoitteinen";904;10.14
"2016";"Joensuu 2";"Kolmiot+";"Vapaarahoitteinen";274;9.76
"2016";"Keski-Suomi";"Yksiöt";"Vapaarahoitteinen";7946;14.70
"2016";"Keski-Suomi";"Kaksiot";"Vapaarahoitteinen";9317;10.83
"2016";"Keski-Suomi";"Kolmiot+";"Vapaarahoitteinen";2824;10.18
"2016";"Jyväskylä";"Yksiöt";"Vapaarahoitteinen";6604;16.05
"2016";"Jyväskylä";"Kaksiot";"Vapaarahoitteinen";7962;11.44
"2016";"Jyväskylä";"Kolmiot+";"Vapaarahoitteinen";2429;10.77
"2016";"Jyväskylä 1";"Yksiöt";"Vapaarahoitteinen";4112;17.08
"2016";"Jyväskylä 1";"Kaksiot";"Vapaarahoitteinen";4765;11.55
"2016";"Jyväskylä 1";"Kolmiot+";"Vapaarahoitteinen";1190;11.09
"2016";"Jyväskylä 2";"Yksiöt";"Vapaarahoitteinen";2492;14.51
"2016";"Jyväskylä 2";"Kaksiot";"Vapaarahoitteinen";3197;11.29
"2016";"Jyväskylä 2";"Kolmiot+";"Vapaarahoitteinen";1239;10.54
"2016";"Etelä-Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";2220;12.40
"2016";"Etelä-Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";2838;9.79
"2016";"Etelä-Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";1108;9.14
"2016";"Seinäjoki";"Yksiöt";"Vapaarahoitteinen";1639;13.90
"2016";"Seinäjoki";"Kaksiot";"Vapaarahoitteinen";1791;10.19
"2016";"Seinäjoki";"Kolmiot+";"Vapaarahoitteinen";676;9.56
"2016";"Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";2642;14.04
"2016";"Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";2256;9.49
"2016";"Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";791;8.74
"2016";"Vaasa";"Yksiöt";"Vapaarahoitteinen";2187;14.74
"2016";"Vaasa";"Kaksiot";"Vapaarahoitteinen";1669;9.74
"2016";"Vaasa";"Kolmiot+";"Vapaarahoitteinen";496;8.70
"2016";"Vaasa 1";"Yksiöt";"Vapaarahoitteinen";1759;15.21
"2016";"Vaasa 1";"Kaksiot";"Vapaarahoitteinen";1347;9.75
"2016";"Vaasa 1";"Kolmiot+";"Vapaarahoitteinen";336;8.34
"2016";"Vaasa 2";"Yksiöt";"Vapaarahoitteinen";428;12.61
"2016";"Vaasa 2";"Kaksiot";"Vapaarahoitteinen";322;9.70
"2016";"Vaasa 2";"Kolmiot+";"Vapaarahoitteinen";160;9.46
"2016";"Keski-Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";558;13.64
"2016";"Keski-Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";708;9.49
"2016";"Keski-Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";215;9.15
"2016";"Kokkola";"Yksiöt";"Vapaarahoitteinen";503;14.33
"2016";"Kokkola";"Kaksiot";"Vapaarahoitteinen";597;9.81
"2016";"Kokkola";"Kolmiot+";"Vapaarahoitteinen";177;9.21
"2016";"Pohjois-Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";10534;14.05
"2016";"Pohjois-Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";10116;10.57
"2016";"Pohjois-Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";3818;9.88
"2016";"Oulu";"Yksiöt";"Vapaarahoitteinen";9164;14.68
"2016";"Oulu";"Kaksiot";"Vapaarahoitteinen";8508;10.88
"2016";"Oulu";"Kolmiot+";"Vapaarahoitteinen";2973;10.01
"2016";"Oulu 1";"Yksiöt";"Vapaarahoitteinen";4005;15.55
"2016";"Oulu 1";"Kaksiot";"Vapaarahoitteinen";4089;11.54
"2016";"Oulu 1";"Kolmiot+";"Vapaarahoitteinen";974;10.77
"2016";"Oulu 2";"Yksiöt";"Vapaarahoitteinen";5159;13.75
"2016";"Oulu 2";"Kaksiot";"Vapaarahoitteinen";4419;10.19
"2016";"Oulu 2";"Kolmiot+";"Vapaarahoitteinen";1999;9.61
"2016";"Kainuu";"Yksiöt";"Vapaarahoitteinen";1459;13.32
"2016";"Kainuu";"Kaksiot";"Vapaarahoitteinen";1166;9.93
"2016";"Kainuu";"Kolmiot+";"Vapaarahoitteinen";424;9.50
"2016";"Kajaani";"Yksiöt";"Vapaarahoitteinen";1184;14.12
"2016";"Kajaani";"Kaksiot";"Vapaarahoitteinen";890;10.20
"2016";"Kajaani";"Kolmiot+";"Vapaarahoitteinen";315;9.83
"2016";"Lappi";"Yksiöt";"Vapaarahoitteinen";3635;13.89
"2016";"Lappi";"Kaksiot";"Vapaarahoitteinen";4099;10.01
"2016";"Lappi";"Kolmiot+";"Vapaarahoitteinen";1622;9.43
"2016";"Rovaniemi";"Yksiöt";"Vapaarahoitteinen";2388;14.90
"2016";"Rovaniemi";"Kaksiot";"Vapaarahoitteinen";2429;10.66
"2016";"Rovaniemi";"Kolmiot+";"Vapaarahoitteinen";1013;10.28
"2017";"Koko maa";"Yksiöt";"Vapaarahoitteinen";157388;17.64
"2017";"Koko maa";"Kaksiot";"Vapaarahoitteinen";158996;13.27
"2017";"Koko maa";"Kolmiot+";"Vapaarahoitteinen";67146;12.38
"2017";"Pääkaupunkiseutu (PKS)";"Yksiöt";"Vapaarahoitteinen";45894;23.35
"2017";"Pääkaupunkiseutu (PKS)";"Kaksiot";"Vapaarahoitteinen";52614;17.34
"2017";"Pääkaupunkiseutu (PKS)";"Kolmiot+";"Vapaarahoitteinen";29738;15.85
"2017";"Muu Suomi (koko maa pl. PKS)";"Yksiöt";"Vapaarahoitteinen";111494;15.22
"2017";"Muu Suomi (koko maa pl. PKS)";"Kaksiot";"Vapaarahoitteinen";106382;11.64
"2017";"Muu Suomi (koko maa pl. PKS)";"Kolmiot+";"Vapaarahoitteinen";37408;10.62
"2017";"Uusimaa";"Yksiöt";"Vapaarahoitteinen";53188;22.37
"2017";"Uusimaa";"Kaksiot";"Vapaarahoitteinen";62526;16.55
"2017";"Uusimaa";"Kolmiot+";"Vapaarahoitteinen";34020;15.18
"2017";"Helsinki";"Yksiöt";"Vapaarahoitteinen";32243;24.29
"2017";"Helsinki";"Kaksiot";"Vapaarahoitteinen";27083;18.00
"2017";"Helsinki";"Kolmiot+";"Vapaarahoitteinen";14220;16.57
"2017";"Helsinki 1";"Yksiöt";"Vapaarahoitteinen";5581;25.91
"2017";"Helsinki 1";"Kaksiot";"Vapaarahoitteinen";3272;19.75
"2017";"Helsinki 1";"Kolmiot+";"Vapaarahoitteinen";1114;18.50
"2017";"Helsinki 2";"Yksiöt";"Vapaarahoitteinen";15965;24.70
"2017";"Helsinki 2";"Kaksiot";"Vapaarahoitteinen";10664;18.38
"2017";"Helsinki 2";"Kolmiot+";"Vapaarahoitteinen";3571;17.00
"2017";"Helsinki 3";"Yksiöt";"Vapaarahoitteinen";3663;24.18
"2017";"Helsinki 3";"Kaksiot";"Vapaarahoitteinen";3816;17.41
"2017";"Helsinki 3";"Kolmiot+";"Vapaarahoitteinen";2270;15.89
"2017";"Helsinki 4";"Yksiöt";"Vapaarahoitteinen";7034;21.56
"2017";"Helsinki 4";"Kaksiot";"Vapaarahoitteinen";9331;16.60
"2017";"Helsinki 4";"Kolmiot+";"Vapaarahoitteinen";7265;15.50
"2017";"Espoo-Kauniainen";"Yksiöt";"Vapaarahoitteinen";6900;21.01
"2017";"Espoo-Kauniainen";"Kaksiot";"Vapaarahoitteinen";11397;16.42
"2017";"Espoo-Kauniainen";"Kolmiot+";"Vapaarahoitteinen";7109;14.94
"2017";"Espoo-Kauniainen 1";"Yksiöt";"Vapaarahoitteinen";1821;22.68
"2017";"Espoo-Kauniainen 1";"Kaksiot";"Vapaarahoitteinen";1886;16.60
"2017";"Espoo-Kauniainen 1";"Kolmiot+";"Vapaarahoitteinen";1234;15.14
"2017";"Espoo-Kauniainen 2";"Yksiöt";"Vapaarahoitteinen";2139;21.33
"2017";"Espoo-Kauniainen 2";"Kaksiot";"Vapaarahoitteinen";4001;17.08
"2017";"Espoo-Kauniainen 2";"Kolmiot+";"Vapaarahoitteinen";2479;15.50
"2017";"Espoo-Kauniainen 3";"Yksiöt";"Vapaarahoitteinen";2940;19.74
"2017";"Espoo-Kauniainen 3";"Kaksiot";"Vapaarahoitteinen";5510;15.64
"2017";"Espoo-Kauniainen 3";"Kolmiot+";"Vapaarahoitteinen";3396;14.34
"2017";"Vantaa";"Yksiöt";"Vapaarahoitteinen";6751;20.14
"2017";"Vantaa";"Kaksiot";"Vapaarahoitteinen";14134;16.13
"2017";"Vantaa";"Kolmiot+";"Vapaarahoitteinen";8409;14.86
"2017";"Vantaa 1";"Yksiöt";"Vapaarahoitteinen";1372;20.96
"2017";"Vantaa 1";"Kaksiot";"Vapaarahoitteinen";4265;17.03
"2017";"Vantaa 1";"Kolmiot+";"Vapaarahoitteinen";2287;15.82
"2017";"Vantaa 2";"Yksiöt";"Vapaarahoitteinen";5379;19.74
"2017";"Vantaa 2";"Kaksiot";"Vapaarahoitteinen";9869;15.45
"2017";"Vantaa 2";"Kolmiot+";"Vapaarahoitteinen";6122;14.17
"2017";"Kehyskunnat";"Yksiöt";"Vapaarahoitteinen";5808;17.14
"2017";"Kehyskunnat";"Kaksiot";"Vapaarahoitteinen";7652;13.37
"2017";"Kehyskunnat";"Kolmiot+";"Vapaarahoitteinen";3469;12.62
"2017";"Porvoo";"Yksiöt";"Vapaarahoitteinen";980;17.14
"2017";"Porvoo";"Kaksiot";"Vapaarahoitteinen";1120;12.56
"2017";"Porvoo";"Kolmiot+";"Vapaarahoitteinen";383;11.90
"2017";"Hyvinkää";"Yksiöt";"Vapaarahoitteinen";1080;17.67
"2017";"Hyvinkää";"Kaksiot";"Vapaarahoitteinen";878;13.86
"2017";"Hyvinkää";"Kolmiot+";"Vapaarahoitteinen";251;13.33
"2017";"Järvenpää";"Yksiöt";"Vapaarahoitteinen";1047;18.15
"2017";"Järvenpää";"Kaksiot";"Vapaarahoitteinen";1464;13.92
"2017";"Järvenpää";"Kolmiot+";"Vapaarahoitteinen";622;12.83
"2017";"Kerava";"Yksiöt";"Vapaarahoitteinen";1080;18.35
"2017";"Kerava";"Kaksiot";"Vapaarahoitteinen";2200;14.26
"2017";"Kerava";"Kolmiot+";"Vapaarahoitteinen";1054;13.03
"2017";"Varsinais-Suomi";"Yksiöt";"Vapaarahoitteinen";15637;15.25
"2017";"Varsinais-Suomi";"Kaksiot";"Vapaarahoitteinen";12487;11.49
"2017";"Varsinais-Suomi";"Kolmiot+";"Vapaarahoitteinen";4184;10.40
"2017";"Turku";"Yksiöt";"Vapaarahoitteinen";13092;16.06
"2017";"Turku";"Kaksiot";"Vapaarahoitteinen";10243;12.05
"2017";"Turku";"Kolmiot+";"Vapaarahoitteinen";3199;10.72
"2017";"Turku 1";"Yksiöt";"Vapaarahoitteinen";7983;16.71
"2017";"Turku 1";"Kaksiot";"Vapaarahoitteinen";5520;12.65
"2017";"Turku 1";"Kolmiot+";"Vapaarahoitteinen";1316;11.57
"2017";"Turku 2";"Yksiöt";"Vapaarahoitteinen";2188;16.36
"2017";"Turku 2";"Kaksiot";"Vapaarahoitteinen";1385;12.30
"2017";"Turku 2";"Kolmiot+";"Vapaarahoitteinen";265;10.14
"2017";"Turku 3";"Yksiöt";"Vapaarahoitteinen";2921;14.60
"2017";"Turku 3";"Kaksiot";"Vapaarahoitteinen";3338;11.03
"2017";"Turku 3";"Kolmiot+";"Vapaarahoitteinen";1618;10.37
"2017";"Satakunta";"Yksiöt";"Vapaarahoitteinen";4404;12.83
"2017";"Satakunta";"Kaksiot";"Vapaarahoitteinen";4351;9.64
"2017";"Satakunta";"Kolmiot+";"Vapaarahoitteinen";1357;8.90
"2017";"Pori";"Yksiöt";"Vapaarahoitteinen";2893;13.43
"2017";"Pori";"Kaksiot";"Vapaarahoitteinen";2822;10.14
"2017";"Pori";"Kolmiot+";"Vapaarahoitteinen";813;9.35
"2017";"Pori 1";"Yksiöt";"Vapaarahoitteinen";1877;14.25
"2017";"Pori 1";"Kaksiot";"Vapaarahoitteinen";1456;11.02
"2017";"Pori 1";"Kolmiot+";"Vapaarahoitteinen";408;9.80
"2017";"Pori 2";"Yksiöt";"Vapaarahoitteinen";1016;11.83
"2017";"Pori 2";"Kaksiot";"Vapaarahoitteinen";1366;9.10
"2017";"Pori 2";"Kolmiot+";"Vapaarahoitteinen";405;8.73
"2017";"Rauma";"Yksiöt";"Vapaarahoitteinen";815;12.76
"2017";"Rauma";"Kaksiot";"Vapaarahoitteinen";669;9.76
"2017";"Rauma";"Kolmiot+";"Vapaarahoitteinen";228;9.07
"2017";"Kanta-Häme";"Yksiöt";"Vapaarahoitteinen";4005;14.57
"2017";"Kanta-Häme";"Kaksiot";"Vapaarahoitteinen";3479;11.93
"2017";"Kanta-Häme";"Kolmiot+";"Vapaarahoitteinen";1389;11.12
"2017";"Hämeenlinna";"Yksiöt";"Vapaarahoitteinen";1885;15.92
"2017";"Hämeenlinna";"Kaksiot";"Vapaarahoitteinen";1817;13.02
"2017";"Hämeenlinna";"Kolmiot+";"Vapaarahoitteinen";729;11.81
"2017";"Hämeenlinna 1";"Yksiöt";"Vapaarahoitteinen";1293;16.64
"2017";"Hämeenlinna 1";"Kaksiot";"Vapaarahoitteinen";935;13.60
"2017";"Hämeenlinna 1";"Kolmiot+";"Vapaarahoitteinen";296;12.54
"2017";"Hämeenlinna 2";"Yksiöt";"Vapaarahoitteinen";592;14.55
"2017";"Hämeenlinna 2";"Kaksiot";"Vapaarahoitteinen";882;12.15
"2017";"Hämeenlinna 2";"Kolmiot+";"Vapaarahoitteinen";433;11.01
"2017";"Riihimäki";"Yksiöt";"Vapaarahoitteinen";1065;14.78
"2017";"Riihimäki";"Kaksiot";"Vapaarahoitteinen";795;11.74
"2017";"Riihimäki";"Kolmiot+";"Vapaarahoitteinen";305;11.04
"2017";"Pirkanmaa";"Yksiöt";"Vapaarahoitteinen";20819;16.84
"2017";"Pirkanmaa";"Kaksiot";"Vapaarahoitteinen";18267;12.44
"2017";"Pirkanmaa";"Kolmiot+";"Vapaarahoitteinen";6368;11.32
"2017";"Tampere";"Yksiöt";"Vapaarahoitteinen";17611;17.61
"2017";"Tampere";"Kaksiot";"Vapaarahoitteinen";15440;13.08
"2017";"Tampere";"Kolmiot+";"Vapaarahoitteinen";5196;12.04
"2017";"Tampere 1";"Yksiöt";"Vapaarahoitteinen";8642;18.12
"2017";"Tampere 1";"Kaksiot";"Vapaarahoitteinen";4693;13.42
"2017";"Tampere 1";"Kolmiot+";"Vapaarahoitteinen";1208;12.70
"2017";"Tampere 2";"Yksiöt";"Vapaarahoitteinen";2373;16.88
"2017";"Tampere 2";"Kaksiot";"Vapaarahoitteinen";3836;13.52
"2017";"Tampere 2";"Kolmiot+";"Vapaarahoitteinen";1246;12.15
"2017";"Tampere 3";"Yksiöt";"Vapaarahoitteinen";6596;16.82
"2017";"Tampere 3";"Kaksiot";"Vapaarahoitteinen";6911;12.38
"2017";"Tampere 3";"Kolmiot+";"Vapaarahoitteinen";2742;11.48
"2017";"Päijät-Häme";"Yksiöt";"Vapaarahoitteinen";7394;14.95
"2017";"Päijät-Häme";"Kaksiot";"Vapaarahoitteinen";7859;12.06
"2017";"Päijät-Häme";"Kolmiot+";"Vapaarahoitteinen";2504;10.83
"2017";"Lahti";"Yksiöt";"Vapaarahoitteinen";6012;15.93
"2017";"Lahti";"Kaksiot";"Vapaarahoitteinen";6613;12.64
"2017";"Lahti";"Kolmiot+";"Vapaarahoitteinen";2043;11.28
"2017";"Lahti 1";"Yksiöt";"Vapaarahoitteinen";2752;16.65
"2017";"Lahti 1";"Kaksiot";"Vapaarahoitteinen";2186;13.80
"2017";"Lahti 1";"Kolmiot+";"Vapaarahoitteinen";794;12.00
"2017";"Lahti 2";"Yksiöt";"Vapaarahoitteinen";3260;15.02
"2017";"Lahti 2";"Kaksiot";"Vapaarahoitteinen";4427;11.70
"2017";"Lahti 2";"Kolmiot+";"Vapaarahoitteinen";1249;10.61
"2017";"Kymenlaakso";"Yksiöt";"Vapaarahoitteinen";4647;12.97
"2017";"Kymenlaakso";"Kaksiot";"Vapaarahoitteinen";3677;10.27
"2017";"Kymenlaakso";"Kolmiot+";"Vapaarahoitteinen";1309;9.42
"2017";"Kotka";"Yksiöt";"Vapaarahoitteinen";1987;13.67
"2017";"Kotka";"Kaksiot";"Vapaarahoitteinen";1402;10.77
"2017";"Kotka";"Kolmiot+";"Vapaarahoitteinen";486;9.80
"2017";"Kotka 1";"Yksiöt";"Vapaarahoitteinen";969;14.94
"2017";"Kotka 1";"Kaksiot";"Vapaarahoitteinen";683;11.67
"2017";"Kotka 1";"Kolmiot+";"Vapaarahoitteinen";129;10.38
"2017";"Kotka 2";"Yksiöt";"Vapaarahoitteinen";1018;12.46
"2017";"Kotka 2";"Kaksiot";"Vapaarahoitteinen";719;9.69
"2017";"Kotka 2";"Kolmiot+";"Vapaarahoitteinen";357;9.54
"2017";"Kouvola";"Yksiöt";"Vapaarahoitteinen";2293;12.55
"2017";"Kouvola";"Kaksiot";"Vapaarahoitteinen";1941;10.03
"2017";"Kouvola";"Kolmiot+";"Vapaarahoitteinen";663;9.24
"2017";"Etelä-Karjala";"Yksiöt";"Vapaarahoitteinen";2475;15.08
"2017";"Etelä-Karjala";"Kaksiot";"Vapaarahoitteinen";2231;11.89
"2017";"Etelä-Karjala";"Kolmiot+";"Vapaarahoitteinen";761;10.63
"2017";"Lappeenranta";"Yksiöt";"Vapaarahoitteinen";1735;15.98
"2017";"Lappeenranta";"Kaksiot";"Vapaarahoitteinen";1672;12.62
"2017";"Lappeenranta";"Kolmiot+";"Vapaarahoitteinen";581;11.14
"2017";"Lappeenranta 1";"Yksiöt";"Vapaarahoitteinen";802;17.21
"2017";"Lappeenranta 1";"Kaksiot";"Vapaarahoitteinen";612;14.01
"2017";"Lappeenranta 1";"Kolmiot+";"Vapaarahoitteinen";192;12.12
"2017";"Lappeenranta 2";"Yksiöt";"Vapaarahoitteinen";933;13.61
"2017";"Lappeenranta 2";"Kaksiot";"Vapaarahoitteinen";1060;11.01
"2017";"Lappeenranta 2";"Kolmiot+";"Vapaarahoitteinen";389;10.23
"2017";"Etelä-Savo";"Yksiöt";"Vapaarahoitteinen";3014;13.58
"2017";"Etelä-Savo";"Kaksiot";"Vapaarahoitteinen";2393;10.32
"2017";"Etelä-Savo";"Kolmiot+";"Vapaarahoitteinen";598;9.38
"2017";"Mikkeli";"Yksiöt";"Vapaarahoitteinen";1398;15.36
"2017";"Mikkeli";"Kaksiot";"Vapaarahoitteinen";942;11.32
