"Vuosi";"Alue";"Huoneluku";"Rahoitusmuoto";"Lukumäärä";"Neliövuokra (eur/m2)"
"2015";"Turku 2";"Kolmiot+";"Vapaarahoitteinen";309;8.86
"2015";"Turku 3";"Yksiöt";"Vapaarahoitteinen";3136;13.49
"2015";"Turku 3";"Kaksiot";"Vapaarahoitteinen";3618;10.03
"2015";"Turku 3";"Kolmiot+";"Vapaarahoitteinen";1686;9.61
"2015";"Satakunta";"Yksiöt";"Vapaarahoitteinen";5587;12.51
"2015";"Satakunta";"Kaksiot";"Vapaarahoitteinen";6108;9.20
"2015";"Satakunta";"Kolmiot+";"Vapaarahoitteinen";2129;8.61
"2015";"Pori";"Yksiöt";"Vapaarahoitteinen";3530;13.13
"2015";"Pori";"Kaksiot";"Vapaarahoitteinen";3826;9.56
"2015";"Pori";"Kolmiot+";"Vapaarahoitteinen";1320;8.88
"2015";"Pori 1";"Yksiöt";"Vapaarahoitteinen";2236;13.80
"2015";"Pori 1";"Kaksiot";"Vapaarahoitteinen";1939;10.14
"2015";"Pori 1";"Kolmiot+";"Vapaarahoitteinen";723;9.19
"2015";"Pori 2";"Yksiöt";"Vapaarahoitteinen";1294;12.20
"2015";"Pori 2";"Kaksiot";"Vapaarahoitteinen";1887;9.05
"2015";"Pori 2";"Kolmiot+";"Vapaarahoitteinen";597;8.56
"2015";"Rauma";"Yksiöt";"Vapaarahoitteinen";1160;12.29
"2015";"Rauma";"Kaksiot";"Vapaarahoitteinen";1261;9.02
"2015";"Rauma";"Kolmiot+";"Vapaarahoitteinen";415;8.50
"2015";"Kanta-Häme";"Yksiöt";"Vapaarahoitteinen";4983;13.90
"2015";"Kanta-Häme";"Kaksiot";"Vapaarahoitteinen";4660;11.09
"2015";"Kanta-Häme";"Kolmiot+";"Vapaarahoitteinen";1625;10.58
"2015";"Hämeenlinna";"Yksiöt";"Vapaarahoitteinen";2362;15.13
"2015";"Hämeenlinna";"Kaksiot";"Vapaarahoitteinen";2461;11.80
"2015";"Hämeenlinna";"Kolmiot+";"Vapaarahoitteinen";856;11.13
"2015";"Hämeenlinna 1";"Yksiöt";"Vapaarahoitteinen";1531;16.00
"2015";"Hämeenlinna 1";"Kaksiot";"Vapaarahoitteinen";1298;12.22
"2015";"Hämeenlinna 1";"Kolmiot+";"Vapaarahoitteinen";320;11.93
"2015";"Hämeenlinna 2";"Yksiöt";"Vapaarahoitteinen";831;13.94
"2015";"Hämeenlinna 2";"Kaksiot";"Vapaarahoitteinen";1163;11.32
"2015";"Hämeenlinna 2";"Kolmiot+";"Vapaarahoitteinen";536;10.58
"2015";"Riihimäki";"Yksiöt";"Vapaarahoitteinen";1300;14.18
"2015";"Riihimäki";"Kaksiot";"Vapaarahoitteinen";1147;10.80
"2015";"Riihimäki";"Kolmiot+";"Vapaarahoitteinen";420;10.46
"2015";"Pirkanmaa";"Yksiöt";"Vapaarahoitteinen";21743;15.51
"2015";"Pirkanmaa";"Kaksiot";"Vapaarahoitteinen";19561;11.17
"2015";"Pirkanmaa";"Kolmiot+";"Vapaarahoitteinen";6461;10.55
"2015";"Tampere";"Yksiöt";"Vapaarahoitteinen";17996;16.44
"2015";"Tampere";"Kaksiot";"Vapaarahoitteinen";16266;11.65
"2015";"Tampere";"Kolmiot+";"Vapaarahoitteinen";5084;10.99
"2015";"Tampere 1";"Yksiöt";"Vapaarahoitteinen";9209;16.87
"2015";"Tampere 1";"Kaksiot";"Vapaarahoitteinen";6111;11.60
"2015";"Tampere 1";"Kolmiot+";"Vapaarahoitteinen";1414;11.22
"2015";"Tampere 2";"Yksiöt";"Vapaarahoitteinen";2403;15.72
"2015";"Tampere 2";"Kaksiot";"Vapaarahoitteinen";3624;12.27
"2015";"Tampere 2";"Kolmiot+";"Vapaarahoitteinen";1156;10.95
"2015";"Tampere 3";"Yksiöt";"Vapaarahoitteinen";6384;15.96
"2015";"Tampere 3";"Kaksiot";"Vapaarahoitteinen";6531;11.41
"2015";"Tampere 3";"Kolmiot+";"Vapaarahoitteinen";2514;10.80
"2015";"Päijät-Häme";"Yksiöt";"Vapaarahoitteinen";8352;14.16
"2015";"Päijät-Häme";"Kaksiot";"Vapaarahoitteinen";8130;11.13
"2015";"Päijät-Häme";"Kolmiot+";"Vapaarahoitteinen";2339;10.21
"2015";"Lahti";"Yksiöt";"Vapaarahoitteinen";6603;15.20
"2015";"Lahti";"Kaksiot";"Vapaarahoitteinen";6526;11.67
"2015";"Lahti";"Kolmiot+";"Vapaarahoitteinen";1692;10.54
"2015";"Lahti 1";"Yksiöt";"Vapaarahoitteinen";3033;15.94
"2015";"Lahti 1";"Kaksiot";"Vapaarahoitteinen";2090;12.61
"2015";"Lahti 1";"Kolmiot+";"Vapaarahoitteinen";584;10.87
"2015";"Lahti 2";"Yksiöt";"Vapaarahoitteinen";3570;14.31
"2015";"Lahti 2";"Kaksiot";"Vapaarahoitteinen";4436;10.90
"2015";"Lahti 2";"Kolmiot+";"Vapaarahoitteinen";1108;10.21
"2015";"Kymenlaakso";"Yksiöt";"Vapaarahoitteinen";5392;12.67
"2015";"Kymenlaakso";"Kaksiot";"Vapaarahoitteinen";4812;10.02
"2015";"Kymenlaakso";"Kolmiot+";"Vapaarahoitteinen";1535;9.42
"2015";"Kotka";"Yksiöt";"Vapaarahoitteinen";2402;13.31
"2015";"Kotka";"Kaksiot";"Vapaarahoitteinen";1882;10.33
"2015";"Kotka";"Kolmiot+";"Vapaarahoitteinen";526;9.42
"2015";"Kotka 1";"Yksiöt";"Vapaarahoitteinen";1205;14.38
"2015";"Kotka 1";"Kaksiot";"Vapaarahoitteinen";976;11.02
"2015";"Kotka 1";"Kolmiot+";"Vapaarahoitteinen";155;9.16
"2015";"Kotka 2";"Yksiöt";"Vapaarahoitteinen";1197;12.19
"2015";"Kotka 2";"Kaksiot";"Vapaarahoitteinen";906;9.41
"2015";"Kotka 2";"Kolmiot+";"Vapaarahoitteinen";371;9.54
"2015";"Kouvola";"Yksiöt";"Vapaarahoitteinen";2560;12.31
"2015";"Kouvola";"Kaksiot";"Vapaarahoitteinen";2484;9.82
"2015";"Kouvola";"Kolmiot+";"Vapaarahoitteinen";837;9.55
"2015";"Etelä-Karjala";"Yksiöt";"Vapaarahoitteinen";2896;13.60
"2015";"Etelä-Karjala";"Kaksiot";"Vapaarahoitteinen";2915;10.65
"2015";"Etelä-Karjala";"Kolmiot+";"Vapaarahoitteinen";948;9.88
"2015";"Lappeenranta";"Yksiöt";"Vapaarahoitteinen";1897;14.51
"2015";"Lappeenranta";"Kaksiot";"Vapaarahoitteinen";2077;11.25
"2015";"Lappeenranta";"Kolmiot+";"Vapaarahoitteinen";642;10.39
"2015";"Lappeenranta 1";"Yksiöt";"Vapaarahoitteinen";846;15.52
"2015";"Lappeenranta 1";"Kaksiot";"Vapaarahoitteinen";707;12.26
"2015";"Lappeenranta 1";"Kolmiot+";"Vapaarahoitteinen";191;11.03
"2015";"Lappeenranta 2";"Yksiöt";"Vapaarahoitteinen";1051;13.22
"2015";"Lappeenranta 2";"Kaksiot";"Vapaarahoitteinen";1370;10.22
"2015";"Lappeenranta 2";"Kolmiot+";"Vapaarahoitteinen";451;9.88
"2015";"Etelä-Savo";"Yksiöt";"Vapaarahoitteinen";3609;13.11
"2015";"Etelä-Savo";"Kaksiot";"Vapaarahoitteinen";3237;9.33
"2015";"Etelä-Savo";"Kolmiot+";"Vapaarahoitteinen";995;8.96
"2015";"Mikkeli";"Yksiöt";"Vapaarahoitteinen";1663;14.89
"2015";"Mikkeli";"Kaksiot";"Vapaarahoitteinen";1333;9.76
"2015";"Mikkeli";"Kolmiot+";"Vapaarahoitteinen";516;9.32
"2015";"Pohjois-Savo";"Yksiöt";"Vapaarahoitteinen";7635;14.19
"2015";"Pohjois-Savo";"Kaksiot";"Vapaarahoitteinen";8187;10.42
"2015";"Pohjois-Savo";"Kolmiot+";"Vapaarahoitteinen";2211;9.94
"2015";"Kuopio";"Yksiöt";"Vapaarahoitteinen";5342;15.93
"2015";"Kuopio";"Kaksiot";"Vapaarahoitteinen";5874;11.03
"2015";"Kuopio";"Kolmiot+";"Vapaarahoitteinen";1511;10.43
"2015";"Kuopio 1";"Yksiöt";"Vapaarahoitteinen";3166;17.02
"2015";"Kuopio 1";"Kaksiot";"Vapaarahoitteinen";2636;11.49
"2015";"Kuopio 1";"Kolmiot+";"Vapaarahoitteinen";673;10.40
"2015";"Kuopio 2";"Yksiöt";"Vapaarahoitteinen";2176;14.70
"2015";"Kuopio 2";"Kaksiot";"Vapaarahoitteinen";3238;10.63
"2015";"Kuopio 2";"Kolmiot+";"Vapaarahoitteinen";838;10.46
"2015";"Pohjois-Karjala";"Yksiöt";"Vapaarahoitteinen";5168;13.69
"2015";"Pohjois-Karjala";"Kaksiot";"Vapaarahoitteinen";4559;9.60
"2015";"Pohjois-Karjala";"Kolmiot+";"Vapaarahoitteinen";1177;9.26
"2015";"Joensuu";"Yksiöt";"Vapaarahoitteinen";4230;15.04
"2015";"Joensuu";"Kaksiot";"Vapaarahoitteinen";3534;9.89
"2015";"Joensuu";"Kolmiot+";"Vapaarahoitteinen";898;9.60
"2015";"Joensuu 1";"Yksiöt";"Vapaarahoitteinen";3315;15.55
"2015";"Joensuu 1";"Kaksiot";"Vapaarahoitteinen";2332;10.05
"2015";"Joensuu 1";"Kolmiot+";"Vapaarahoitteinen";563;9.91
"2015";"Joensuu 2";"Yksiöt";"Vapaarahoitteinen";915;13.55
"2015";"Joensuu 2";"Kaksiot";"Vapaarahoitteinen";1202;9.63
"2015";"Joensuu 2";"Kolmiot+";"Vapaarahoitteinen";335;9.26
"2015";"Keski-Suomi";"Yksiöt";"Vapaarahoitteinen";9091;14.32
"2015";"Keski-Suomi";"Kaksiot";"Vapaarahoitteinen";11542;10.57
"2015";"Keski-Suomi";"Kolmiot+";"Vapaarahoitteinen";3347;9.82
"2015";"Jyväskylä";"Yksiöt";"Vapaarahoitteinen";7418;15.71
"2015";"Jyväskylä";"Kaksiot";"Vapaarahoitteinen";9718;11.08
"2015";"Jyväskylä";"Kolmiot+";"Vapaarahoitteinen";2816;10.37
"2015";"Jyväskylä 1";"Yksiöt";"Vapaarahoitteinen";4594;16.77
"2015";"Jyväskylä 1";"Kaksiot";"Vapaarahoitteinen";5850;11.24
"2015";"Jyväskylä 1";"Kolmiot+";"Vapaarahoitteinen";1374;10.49
"2015";"Jyväskylä 2";"Yksiöt";"Vapaarahoitteinen";2824;14.17
"2015";"Jyväskylä 2";"Kaksiot";"Vapaarahoitteinen";3868;10.89
"2015";"Jyväskylä 2";"Kolmiot+";"Vapaarahoitteinen";1442;10.29
"2015";"Etelä-Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";2761;12.17
"2015";"Etelä-Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";3978;9.60
"2015";"Etelä-Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";1349;9.05
"2015";"Seinäjoki";"Yksiöt";"Vapaarahoitteinen";1998;13.58
"2015";"Seinäjoki";"Kaksiot";"Vapaarahoitteinen";2420;9.97
"2015";"Seinäjoki";"Kolmiot+";"Vapaarahoitteinen";864;9.38
"2015";"Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";3121;13.74
"2015";"Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";3034;9.28
"2015";"Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";1056;8.49
"2015";"Vaasa";"Yksiöt";"Vapaarahoitteinen";2547;14.41
"2015";"Vaasa";"Kaksiot";"Vapaarahoitteinen";2240;9.43
"2015";"Vaasa";"Kolmiot+";"Vapaarahoitteinen";636;8.38
"2015";"Vaasa 1";"Yksiöt";"Vapaarahoitteinen";1997;14.89
"2015";"Vaasa 1";"Kaksiot";"Vapaarahoitteinen";1776;9.44
"2015";"Vaasa 1";"Kolmiot+";"Vapaarahoitteinen";450;7.83
"2015";"Vaasa 2";"Yksiöt";"Vapaarahoitteinen";550;12.46
"2015";"Vaasa 2";"Kaksiot";"Vapaarahoitteinen";464;9.42
"2015";"Vaasa 2";"Kolmiot+";"Vapaarahoitteinen";186;9.49
"2015";"Keski-Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";722;13.15
"2015";"Keski-Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";938;9.28
"2015";"Keski-Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";341;9.02
"2015";"Kokkola";"Yksiöt";"Vapaarahoitteinen";638;13.89
"2015";"Kokkola";"Kaksiot";"Vapaarahoitteinen";783;9.55
"2015";"Kokkola";"Kolmiot+";"Vapaarahoitteinen";295;9.07
"2015";"Pohjois-Pohjanmaa";"Yksiöt";"Vapaarahoitteinen";11834;13.68
"2015";"Pohjois-Pohjanmaa";"Kaksiot";"Vapaarahoitteinen";12430;10.27
"2015";"Pohjois-Pohjanmaa";"Kolmiot+";"Vapaarahoitteinen";4533;9.65
"2015";"Oulu";"Yksiöt";"Vapaarahoitteinen";10122;14.30
"2015";"Oulu";"Kaksiot";"Vapaarahoitteinen";10148;10.58
"2015";"Oulu";"Kolmiot+";"Vapaarahoitteinen";3455;9.82
"2015";"Oulu 1";"Yksiöt";"Vapaarahoitteinen";4497;15.21
"2015";"Oulu 1";"Kaksiot";"Vapaarahoitteinen";4926;11.21
"2015";"Oulu 1";"Kolmiot+";"Vapaarahoitteinen";1160;10.53
"2015";"Oulu 2";"Yksiöt";"Vapaarahoitteinen";5625;13.39
"2015";"Oulu 2";"Kaksiot";"Vapaarahoitteinen";5222;9.95
"2015";"Oulu 2";"Kolmiot+";"Vapaarahoitteinen";2295;9.45
"2015";"Kainuu";"Yksiöt";"Vapaarahoitteinen";1902;12.87
"2015";"Kainuu";"Kaksiot";"Vapaarahoitteinen";1644;9.66
"2015";"Kainuu";"Kolmiot+";"Vapaarahoitteinen";564;9.38
"2015";"Kajaani";"Yksiöt";"Vapaarahoitteinen";1469;13.72
"2015";"Kajaani";"Kaksiot";"Vapaarahoitteinen";1230;9.93
"2015";"Kajaani";"Kolmiot+";"Vapaarahoitteinen";423;9.79
"2015";"Lappi";"Yksiöt";"Vapaarahoitteinen";4325;13.71
"2015";"Lappi";"Kaksiot";"Vapaarahoitteinen";5151;9.92
"2015";"Lappi";"Kolmiot+";"Vapaarahoitteinen";1938;9.41
"2015";"Rovaniemi";"Yksiöt";"Vapaarahoitteinen";2767;14.73
"2015";"Rovaniemi";"Kaksiot";"Vapaarahoitteinen";3026;10.59
"2015";"Rovaniemi";"Kolmiot+";"Vapaarahoitteinen";1150;10.28
"2016";"Koko maa";"Yksiöt";"Vapaarahoitteinen";146626;16.92
"2016";"Koko maa";"Kaksiot";"Vapaarahoitteinen";145174;12.26
"2016";"Koko maa";"Kolmiot+";"Vapaarahoitteinen";58300;11.73
"2016";"Pääkaupunkiseutu (PKS)";"Yksiöt";"Vapaarahoitteinen";41113;22.79
"2016";"Pääkaupunkiseutu (PKS)";"Kaksiot";"Vapaarahoitteinen";44654;16.24
"2016";"Pääkaupunkiseutu (PKS)";"Kolmiot+";"Vapaarahoitteinen";23892;15.07
"2016";"Muu Suomi (koko maa pl. PKS)";"Yksiöt";"Vapaarahoitteinen";105513;14.47
"2016";"Muu Suomi (koko maa pl. PKS)";"Kaksiot";"Vapaarahoitteinen";100520;10.79
"2016";"Muu Suomi (koko maa pl. PKS)";"Kolmiot+";"Vapaarahoitteinen";34408;10.13
"2016";"Uusimaa";"Yksiöt";"Vapaarahoitteinen";47976;21.60
"2016";"Uusimaa";"Kaksiot";"Vapaarahoitteinen";53390;15.35
"2016";"Uusimaa";"Kolmiot+";"Vapaarahoitteinen";27487;14.36
"2016";"Helsinki";"Yksiöt";"Vapaarahoitteinen";29214;23.71
"2016";"Helsinki";"Kaksiot";"Vapaarahoitteinen";23440;16.69
"2016";"Helsinki";"Kolmiot+";"Vapaarahoitteinen";11080;15.57
"2016";"Helsinki 1";"Yksiöt";"Vapaarahoitteinen";5336;24.45
"2016";"Helsinki 1";"Kaksiot";"Vapaarahoitteinen";3136;17.75
"2016";"Helsinki 1";"Kolmiot+";"Vapaarahoitteinen";981;16.44
"2016";"Helsinki 2";"Yksiöt";"Vapaarahoitteinen";14714;24.09
"2016";"Helsinki 2";"Kaksiot";"Vapaarahoitteinen";9740;16.68
"2016";"Helsinki 2";"Kolmiot+";"Vapaarahoitteinen";3125;15.86
"2016";"Helsinki 3";"Yksiöt";"Vapaarahoitteinen";3021;24.60
"2016";"Helsinki 3";"Kaksiot";"Vapaarahoitteinen";2685;16.63
"2016";"Helsinki 3";"Kolmiot+";"Vapaarahoitteinen";1242;15.54
"2016";"Helsinki 4";"Yksiöt";"Vapaarahoitteinen";6143;21.00
"2016";"Helsinki 4";"Kaksiot";"Vapaarahoitteinen";7879;15.97
"2016";"Helsinki 4";"Kolmiot+";"Vapaarahoitteinen";5732;14.86
"2016";"Espoo-Kauniainen";"Yksiöt";"Vapaarahoitteinen";5874;20.61
"2016";"Espoo-Kauniainen";"Kaksiot";"Vapaarahoitteinen";9401;15.52
"2016";"Espoo-Kauniainen";"Kolmiot+";"Vapaarahoitteinen";5756;14.34
"2016";"Espoo-Kauniainen 1";"Yksiöt";"Vapaarahoitteinen";1406;22.14
"2016";"Espoo-Kauniainen 1";"Kaksiot";"Vapaarahoitteinen";1617;15.13
"2016";"Espoo-Kauniainen 1";"Kolmiot+";"Vapaarahoitteinen";1060;14.38
"2016";"Espoo-Kauniainen 2";"Yksiöt";"Vapaarahoitteinen";1984;21.01
"2016";"Espoo-Kauniainen 2";"Kaksiot";"Vapaarahoitteinen";3462;16.45
"2016";"Espoo-Kauniainen 2";"Kolmiot+";"Vapaarahoitteinen";1825;14.98
"2016";"Espoo-Kauniainen 3";"Yksiöt";"Vapaarahoitteinen";2484;19.12
