"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2011";"Lapin maakunta";"Vapaarahoitteinen";"2h";9.50;1944
"2011";"Lapin maakunta";"Vapaarahoitteinen";"3h+";8.01;970
"2011";"Helsinki";"Vapaarahoitteinen";"1h";18.83;9050
"2011";"Helsinki";"Vapaarahoitteinen";"2h";14.20;5949
"2011";"Helsinki";"Vapaarahoitteinen";"3h+";12.22;2181
"2011";"Helsinki 1";"Vapaarahoitteinen";"1h";20.34;1531
"2011";"Helsinki 1";"Vapaarahoitteinen";"2h";15.36;911
"2011";"Helsinki 1";"Vapaarahoitteinen";"3h+";13.36;347
"2011";"Helsinki 2";"Vapaarahoitteinen";"1h";19.52;4582
"2011";"Helsinki 2";"Vapaarahoitteinen";"2h";14.86;2507
"2011";"Helsinki 2";"Vapaarahoitteinen";"3h+";12.54;554
"2011";"Helsinki 3";"Vapaarahoitteinen";"1h";17.12;869
"2011";"Helsinki 3";"Vapaarahoitteinen";"2h";13.34;758
"2011";"Helsinki 3";"Vapaarahoitteinen";"3h+";11.59;386
"2011";"Helsinki 4";"Vapaarahoitteinen";"1h";14.49;2068
"2011";"Helsinki 4";"Vapaarahoitteinen";"2h";12.35;1773
"2011";"Helsinki 4";"Vapaarahoitteinen";"3h+";10.90;894
"2011";"Espoo-Kauniainen";"Vapaarahoitteinen";"1h";15.72;1217
"2011";"Espoo-Kauniainen";"Vapaarahoitteinen";"2h";13.88;1318
"2011";"Espoo-Kauniainen";"Vapaarahoitteinen";"3h+";11.69;661
"2011";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"1h";17.75;227
"2011";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"2h";14.88;251
"2011";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"3h+";12.44;108
"2011";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"1h";16.11;387
"2011";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"2h";14.22;512
"2011";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"3h+";11.68;262
"2011";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"1h";14.19;603
"2011";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"2h";12.83;555
"2011";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"3h+";11.09;291
"2011";"Vantaa";"Vapaarahoitteinen";"1h";14.54;1243
"2011";"Vantaa";"Vapaarahoitteinen";"2h";12.62;1343
"2011";"Vantaa";"Vapaarahoitteinen";"3h+";11.36;830
"2011";"Vantaa 1";"Vapaarahoitteinen";"1h";14.80;227
"2011";"Vantaa 1";"Vapaarahoitteinen";"2h";13.41;370
"2011";"Vantaa 1";"Vapaarahoitteinen";"3h+";11.61;228
"2011";"Vantaa 2";"Vapaarahoitteinen";"1h";14.45;1016
"2011";"Vantaa 2";"Vapaarahoitteinen";"2h";12.23;973
"2011";"Vantaa 2";"Vapaarahoitteinen";"3h+";11.23;602
"2011";"Kehyskunnat";"Vapaarahoitteinen";"1h";13.10;1699
