"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2012";"Lapin maakunta";"Vapaarahoitteinen";"1h";12.30;1481
"2012";"Lapin maakunta";"Vapaarahoitteinen";"2h";9.70;1830
"2012";"Lapin maakunta";"Vapaarahoitteinen";"3h+";8.14;831
"2012";"Helsinki";"Vapaarahoitteinen";"1h";19.64;8577
"2012";"Helsinki";"Vapaarahoitteinen";"2h";14.93;5831
"2012";"Helsinki";"Vapaarahoitteinen";"3h+";12.93;2228
"2012";"Helsinki 1";"Vapaarahoitteinen";"1h";21.60;1403
"2012";"Helsinki 1";"Vapaarahoitteinen";"2h";16.22;813
"2012";"Helsinki 1";"Vapaarahoitteinen";"3h+";14.52;337
"2012";"Helsinki 2";"Vapaarahoitteinen";"1h";20.09;4214
"2012";"Helsinki 2";"Vapaarahoitteinen";"2h";15.64;2496
"2012";"Helsinki 2";"Vapaarahoitteinen";"3h+";13.27;597
"2012";"Helsinki 3";"Vapaarahoitteinen";"1h";18.02;850
"2012";"Helsinki 3";"Vapaarahoitteinen";"2h";13.98;758
"2012";"Helsinki 3";"Vapaarahoitteinen";"3h+";11.84;402
"2012";"Helsinki 4";"Vapaarahoitteinen";"1h";15.33;2110
"2012";"Helsinki 4";"Vapaarahoitteinen";"2h";12.94;1764
"2012";"Helsinki 4";"Vapaarahoitteinen";"3h+";11.32;892
"2012";"Espoo-Kauniainen";"Vapaarahoitteinen";"1h";16.24;1231
"2012";"Espoo-Kauniainen";"Vapaarahoitteinen";"2h";14.23;1305
"2012";"Espoo-Kauniainen";"Vapaarahoitteinen";"3h+";12.48;675
"2012";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"1h";18.04;231
"2012";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"2h";14.88;243
"2012";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"3h+";13.54;100
"2012";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"1h";16.64;396
"2012";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"2h";14.74;538
"2012";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"3h+";11.95;280
"2012";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"1h";14.84;604
"2012";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"2h";13.21;524
"2012";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"3h+";12.14;295
"2012";"Vantaa";"Vapaarahoitteinen";"1h";15.40;1337
"2012";"Vantaa";"Vapaarahoitteinen";"2h";13.15;1361
"2012";"Vantaa";"Vapaarahoitteinen";"3h+";11.56;783
"2012";"Vantaa 1";"Vapaarahoitteinen";"1h";15.93;223
"2012";"Vantaa 1";"Vapaarahoitteinen";"2h";14.00;353
"2012";"Vantaa 1";"Vapaarahoitteinen";"3h+";12.05;203
"2012";"Vantaa 2";"Vapaarahoitteinen";"1h";15.22;1114
"2012";"Vantaa 2";"Vapaarahoitteinen";"2h";12.72;1008
"2012";"Vantaa 2";"Vapaarahoitteinen";"3h+";11.30;580
"2012";"Kehyskunnat";"Vapaarahoitteinen";"1h";13.65;1627
"2012";"Kehyskunnat";"Vapaarahoitteinen";"2h";11.11;1521
"2012";"Kehyskunnat";"Vapaarahoitteinen";"3h+";9.82;757
"2012";"Porvoo";"Vapaarahoitteinen";"1h";14.10;276
"2012";"Porvoo";"Vapaarahoitteinen";"2h";11.18;303
"2012";"Porvoo";"Vapaarahoitteinen";"3h+";9.49;166
"2012";"Tampere";"Vapaarahoitteinen";"1h";14.63;4124
"2012";"Tampere";"Vapaarahoitteinen";"2h";11.64;3421
"2012";"Tampere";"Vapaarahoitteinen";"3h+";10.31;1119
"2012";"Tampere 1";"Vapaarahoitteinen";"1h";15.54;2101
"2012";"Tampere 1";"Vapaarahoitteinen";"2h";12.03;1556
"2012";"Tampere 1";"Vapaarahoitteinen";"3h+";10.76;401
"2012";"Tampere 2";"Vapaarahoitteinen";"1h";12.80;660
"2012";"Tampere 2";"Vapaarahoitteinen";"2h";11.63;590
"2012";"Tampere 2";"Vapaarahoitteinen";"3h+";9.87;195
"2012";"Tampere 3";"Vapaarahoitteinen";"1h";13.32;1363
"2012";"Tampere 3";"Vapaarahoitteinen";"2h";10.91;1275
"2012";"Tampere 3";"Vapaarahoitteinen";"3h+";9.93;523
"2012";"Turku";"Vapaarahoitteinen";"1h";14.14;3996
"2012";"Turku";"Vapaarahoitteinen";"2h";10.96;2856
"2012";"Turku";"Vapaarahoitteinen";"3h+";9.67;1049
"2012";"Turku 1";"Vapaarahoitteinen";"1h";14.78;2257
"2012";"Turku 1";"Vapaarahoitteinen";"2h";11.65;1629
"2012";"Turku 1";"Vapaarahoitteinen";"3h+";10.27;443
"2012";"Turku 2";"Vapaarahoitteinen";"1h";13.96;617
"2012";"Turku 2";"Vapaarahoitteinen";"2h";10.76;356
"2012";"Turku 2";"Vapaarahoitteinen";"3h+";9.48;124
"2012";"Turku 3";"Vapaarahoitteinen";"1h";12.59;1122
"2012";"Turku 3";"Vapaarahoitteinen";"2h";9.70;871
"2012";"Turku 3";"Vapaarahoitteinen";"3h+";8.93;482
"2012";"Pori";"Vapaarahoitteinen";"1h";11.93;1299
"2012";"Pori";"Vapaarahoitteinen";"2h";9.45;1340
"2012";"Pori";"Vapaarahoitteinen";"3h+";8.42;557
"2012";"Pori 1";"Vapaarahoitteinen";"1h";12.58;728
"2012";"Pori 1";"Vapaarahoitteinen";"2h";10.19;699
"2012";"Pori 1";"Vapaarahoitteinen";"3h+";8.68;269
"2012";"Pori 2";"Vapaarahoitteinen";"1h";10.87;571
"2012";"Pori 2";"Vapaarahoitteinen";"2h";8.57;641
"2012";"Pori 2";"Vapaarahoitteinen";"3h+";8.16;288
"2012";"Rauma";"Vapaarahoitteinen";"1h";11.76;320
"2012";"Rauma";"Vapaarahoitteinen";"2h";9.21;377
"2012";"Rauma";"Vapaarahoitteinen";"3h+";8.19;196
"2012";"Lappeenranta";"Vapaarahoitteinen";"1h";13.36;691
"2012";"Lappeenranta";"Vapaarahoitteinen";"2h";10.59;584
"2012";"Lappeenranta";"Vapaarahoitteinen";"3h+";9.31;257
"2012";"Lappeenranta 1";"Vapaarahoitteinen";"1h";14.39;373
"2012";"Lappeenranta 1";"Vapaarahoitteinen";"2h";11.57;272
"2012";"Lappeenranta 1";"Vapaarahoitteinen";"3h+";10.11;80
"2012";"Lappeenranta 2";"Vapaarahoitteinen";"1h";11.62;318
"2012";"Lappeenranta 2";"Vapaarahoitteinen";"2h";9.54;312
"2012";"Lappeenranta 2";"Vapaarahoitteinen";"3h+";8.65;177
"2012";"Kotka";"Vapaarahoitteinen";"1h";12.35;786
"2012";"Kotka";"Vapaarahoitteinen";"2h";9.82;656
"2012";"Kotka";"Vapaarahoitteinen";"3h+";8.62;247
"2012";"Kotka 1";"Vapaarahoitteinen";"1h";13.64;309
"2012";"Kotka 1";"Vapaarahoitteinen";"2h";10.72;250
"2012";"Kotka 1";"Vapaarahoitteinen";"3h+";9.03;81
"2012";"Kotka 2";"Vapaarahoitteinen";"1h";11.16;477
"2012";"Kotka 2";"Vapaarahoitteinen";"2h";9.00;406
"2012";"Kotka 2";"Vapaarahoitteinen";"3h+";8.32;166
"2012";"Kouvola";"Vapaarahoitteinen";"1h";11.27;928
"2012";"Kouvola";"Vapaarahoitteinen";"2h";9.32;858
"2012";"Kouvola";"Vapaarahoitteinen";"3h+";7.74;358
"2012";"Lahti";"Vapaarahoitteinen";"1h";13.69;1625
"2012";"Lahti";"Vapaarahoitteinen";"2h";11.07;1532
"2012";"Lahti";"Vapaarahoitteinen";"3h+";9.65;554
"2012";"Lahti 1";"Vapaarahoitteinen";"1h";14.40;713
"2012";"Lahti 1";"Vapaarahoitteinen";"2h";11.67;664
"2012";"Lahti 1";"Vapaarahoitteinen";"3h+";10.02;260
"2012";"Lahti 2";"Vapaarahoitteinen";"1h";12.84;912
"2012";"Lahti 2";"Vapaarahoitteinen";"2h";10.42;868
"2012";"Lahti 2";"Vapaarahoitteinen";"3h+";9.23;294
"2012";"Hämeenlinna";"Vapaarahoitteinen";"1h";13.57;590
"2012";"Hämeenlinna";"Vapaarahoitteinen";"2h";11.06;605
"2012";"Hämeenlinna";"Vapaarahoitteinen";"3h+";9.70;259
"2012";"Hämeenlinna 1";"Vapaarahoitteinen";"1h";14.43;376
"2012";"Hämeenlinna 1";"Vapaarahoitteinen";"2h";11.76;335
"2012";"Hämeenlinna 1";"Vapaarahoitteinen";"3h+";9.98;96
"2012";"Hämeenlinna 2";"Vapaarahoitteinen";"1h";11.94;214
"2012";"Hämeenlinna 2";"Vapaarahoitteinen";"2h";10.07;270
"2012";"Hämeenlinna 2";"Vapaarahoitteinen";"3h+";9.45;163
"2012";"Kuopio";"Vapaarahoitteinen";"1h";14.26;1322
"2012";"Kuopio";"Vapaarahoitteinen";"2h";11.26;1441
"2012";"Kuopio";"Vapaarahoitteinen";"3h+";9.71;491
"2012";"Kuopio 1";"Vapaarahoitteinen";"1h";15.75;743
"2012";"Kuopio 1";"Vapaarahoitteinen";"2h";12.08;678
"2012";"Kuopio 1";"Vapaarahoitteinen";"3h+";10.31;165
"2012";"Kuopio 2";"Vapaarahoitteinen";"1h";12.46;551
"2012";"Kuopio 2";"Vapaarahoitteinen";"2h";10.80;731
"2012";"Kuopio 2";"Vapaarahoitteinen";"3h+";9.60;305
"2012";"Kuopio 3";"Vapaarahoitteinen";"1h";9.64;28
"2012";"Kuopio 3";"Vapaarahoitteinen";"2h";8.81;32
"2012";"Kuopio 3";"Vapaarahoitteinen";"3h+";7.94;21
"2012";"Jyväskylä";"Vapaarahoitteinen";"1h";14.64;1708
"2012";"Jyväskylä";"Vapaarahoitteinen";"2h";11.09;2170
"2012";"Jyväskylä";"Vapaarahoitteinen";"3h+";9.84;691
"2012";"Jyväskylä 1";"Vapaarahoitteinen";"1h";15.60;1102
"2012";"Jyväskylä 1";"Vapaarahoitteinen";"2h";11.51;1450
"2012";"Jyväskylä 1";"Vapaarahoitteinen";"3h+";10.44;373
"2012";"Jyväskylä 2";"Vapaarahoitteinen";"1h";12.63;606
"2012";"Jyväskylä 2";"Vapaarahoitteinen";"2h";10.36;720
"2012";"Jyväskylä 2";"Vapaarahoitteinen";"3h+";9.16;318
"2012";"Vaasa";"Vapaarahoitteinen";"1h";13.08;740
"2012";"Vaasa";"Vapaarahoitteinen";"2h";10.41;798
"2012";"Vaasa";"Vapaarahoitteinen";"3h+";8.92;354
"2012";"Vaasa 1";"Vapaarahoitteinen";"1h";13.60;560
"2012";"Vaasa 1";"Vapaarahoitteinen";"2h";10.69;592
"2012";"Vaasa 1";"Vapaarahoitteinen";"3h+";8.90;225
"2012";"Vaasa 2";"Vapaarahoitteinen";"1h";11.30;180
"2012";"Vaasa 2";"Vapaarahoitteinen";"2h";9.62;206
"2012";"Vaasa 2";"Vapaarahoitteinen";"3h+";8.96;129
"2012";"Seinäjoki";"Vapaarahoitteinen";"1h";12.46;495
"2012";"Seinäjoki";"Vapaarahoitteinen";"2h";10.15;646
"2012";"Seinäjoki";"Vapaarahoitteinen";"3h+";8.59;290
"2012";"Kokkola";"Vapaarahoitteinen";"1h";11.89;234
"2012";"Kokkola";"Vapaarahoitteinen";"2h";9.85;370
"2012";"Kokkola";"Vapaarahoitteinen";"3h+";8.44;211
"2012";"Mikkeli";"Vapaarahoitteinen";"1h";13.04;461
"2012";"Mikkeli";"Vapaarahoitteinen";"2h";10.58;472
"2012";"Mikkeli";"Vapaarahoitteinen";"3h+";8.80;173
"2012";"Mikkeli 1";"Vapaarahoitteinen";"1h";13.30;367
"2012";"Mikkeli 1";"Vapaarahoitteinen";"2h";10.77;354
"2012";"Mikkeli 1";"Vapaarahoitteinen";"3h+";8.89;113
"2012";"Mikkeli 2";"Vapaarahoitteinen";"1h";12.08;94
"2012";"Mikkeli 2";"Vapaarahoitteinen";"2h";10.03;118
"2012";"Mikkeli 2";"Vapaarahoitteinen";"3h+";8.66;60
"2012";"Joensuu";"Vapaarahoitteinen";"1h";14.02;1129
"2012";"Joensuu";"Vapaarahoitteinen";"2h";10.46;1098
"2012";"Joensuu";"Vapaarahoitteinen";"3h+";9.35;387
"2012";"Joensuu 1";"Vapaarahoitteinen";"1h";14.73;836
"2012";"Joensuu 1";"Vapaarahoitteinen";"2h";10.88;682
"2012";"Joensuu 1";"Vapaarahoitteinen";"3h+";9.80;211
"2012";"Joensuu 2";"Vapaarahoitteinen";"1h";12.47;237
"2012";"Joensuu 2";"Vapaarahoitteinen";"2h";10.29;305
"2012";"Joensuu 2";"Vapaarahoitteinen";"3h+";9.45;140
"2012";"Joensuu 3";"Vapaarahoitteinen";"1h";9.27;56
"2012";"Joensuu 3";"Vapaarahoitteinen";"2h";8.43;111
"2012";"Joensuu 3";"Vapaarahoitteinen";"3h+";6.79;36
"2012";"Oulu";"Vapaarahoitteinen";"1h";13.44;2331
"2012";"Oulu";"Vapaarahoitteinen";"2h";10.69;2513
"2012";"Oulu";"Vapaarahoitteinen";"3h+";9.66;881
"2012";"Oulu 1";"Vapaarahoitteinen";"1h";14.11;1082
"2012";"Oulu 1";"Vapaarahoitteinen";"2h";11.49;1123
"2012";"Oulu 1";"Vapaarahoitteinen";"3h+";10.51;330
"2012";"Oulu 2";"Vapaarahoitteinen";"1h";12.75;1249
"2012";"Oulu 2";"Vapaarahoitteinen";"2h";10.00;1390
"2012";"Oulu 2";"Vapaarahoitteinen";"3h+";9.14;551
"2012";"Kajaani";"Vapaarahoitteinen";"1h";12.57;412
"2012";"Kajaani";"Vapaarahoitteinen";"2h";10.31;381
"2012";"Kajaani";"Vapaarahoitteinen";"3h+";8.79;144
"2012";"Rovaniemi";"Vapaarahoitteinen";"1h";13.70;872
"2012";"Rovaniemi";"Vapaarahoitteinen";"2h";10.86;900
"2012";"Rovaniemi";"Vapaarahoitteinen";"3h+";8.94;362
"2012";"Yli 100 000 asukasta";"Vapaarahoitteinen";"1h";15.71;24899
"2012";"Yli 100 000 asukasta";"Vapaarahoitteinen";"2h";12.32;20956
"2012";"Yli 100 000 asukasta";"Vapaarahoitteinen";"3h+";10.99;7954
"2012";"60 000 - 100 000 asukasta";"Vapaarahoitteinen";"1h";13.00;7573
"2012";"60 000 - 100 000 asukasta";"Vapaarahoitteinen";"2h";10.36;7625
"2012";"60 000 - 100 000 asukasta";"Vapaarahoitteinen";"3h+";8.94;3026
"2012";"20 000 - 59 999 asukasta";"Vapaarahoitteinen";"1h";11.90;9431
"2012";"20 000 - 59 999 asukasta";"Vapaarahoitteinen";"2h";9.79;9805
"2012";"20 000 - 59 999 asukasta";"Vapaarahoitteinen";"3h+";8.65;4341
"2012";"Alle 20 000 asukasta";"Vapaarahoitteinen";"1h";9.75;6563
"2012";"Alle 20 000 asukasta";"Vapaarahoitteinen";"2h";8.38;7924
"2012";"Alle 20 000 asukasta";"Vapaarahoitteinen";"3h+";7.56;4589
"2013";"Koko maa";"Vapaarahoitteinen";"1h";15.53;51925
"2013";"Koko maa";"Vapaarahoitteinen";"2h";11.84;50707
"2013";"Koko maa";"Vapaarahoitteinen";"3h+";10.45;21304
"2013";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"1h";19.74;11854
"2013";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"2h";15.18;9171
"2013";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"3h+";13.28;3856
"2013";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"1h";13.11;40071
"2013";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"2h";10.43;41536
"2013";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"3h+";9.05;17448
"2013";"Etelä-Suomi";"Vapaarahoitteinen";"1h";17.09;27289
"2013";"Etelä-Suomi";"Vapaarahoitteinen";"2h";13.00;23480
"2013";"Etelä-Suomi";"Vapaarahoitteinen";"3h+";11.50;9849
"2013";"Länsi-Suomi";"Vapaarahoitteinen";"1h";13.35;12945
"2013";"Länsi-Suomi";"Vapaarahoitteinen";"2h";10.50;13703
"2013";"Länsi-Suomi";"Vapaarahoitteinen";"3h+";9.09;5797
"2013";"Itä-Suomi";"Vapaarahoitteinen";"1h";12.58;6309
"2013";"Itä-Suomi";"Vapaarahoitteinen";"2h";10.07;6808
"2013";"Itä-Suomi";"Vapaarahoitteinen";"3h+";8.80;2646
"2013";"Pohjois-Suomi";"Vapaarahoitteinen";"1h";12.63;5382
"2013";"Pohjois-Suomi";"Vapaarahoitteinen";"2h";10.21;6716
"2013";"Pohjois-Suomi";"Vapaarahoitteinen";"3h+";8.82;3012
"2013";"Uudenmaan maakunta";"Vapaarahoitteinen";"1h";18.90;14777
"2013";"Uudenmaan maakunta";"Vapaarahoitteinen";"2h";14.42;12284
"2013";"Uudenmaan maakunta";"Vapaarahoitteinen";"3h+";12.56;5329
"2013";"Varsinais-Suomen maakunta";"Vapaarahoitteinen";"1h";13.67;5710
"2013";"Varsinais-Suomen maakunta";"Vapaarahoitteinen";"2h";10.50;4583
"2013";"Varsinais-Suomen maakunta";"Vapaarahoitteinen";"3h+";9.07;1848
"2013";"Satakunnan maakunta";"Vapaarahoitteinen";"1h";11.68;2201
"2013";"Satakunnan maakunta";"Vapaarahoitteinen";"2h";9.22;2415
"2013";"Satakunnan maakunta";"Vapaarahoitteinen";"3h+";8.09;1159
"2013";"Kanta-Hämeen maakunta";"Vapaarahoitteinen";"1h";12.58;1217
"2013";"Kanta-Hämeen maakunta";"Vapaarahoitteinen";"2h";10.34;1148
"2013";"Kanta-Hämeen maakunta";"Vapaarahoitteinen";"3h+";9.33;508
"2013";"Pirkanmaan maakunta";"Vapaarahoitteinen";"1h";14.26;6027
"2013";"Pirkanmaan maakunta";"Vapaarahoitteinen";"2h";11.34;5167
"2013";"Pirkanmaan maakunta";"Vapaarahoitteinen";"3h+";9.76;2134
"2013";"Päijät-Hämeen maakunta";"Vapaarahoitteinen";"1h";13.33;2453
"2013";"Päijät-Hämeen maakunta";"Vapaarahoitteinen";"2h";10.74;2394
"2013";"Päijät-Hämeen maakunta";"Vapaarahoitteinen";"3h+";9.32;945
"2013";"Kymenlaakson maakunta";"Vapaarahoitteinen";"1h";11.98;1950
"2013";"Kymenlaakson maakunta";"Vapaarahoitteinen";"2h";9.79;1933
"2013";"Kymenlaakson maakunta";"Vapaarahoitteinen";"3h+";8.53;792
"2013";"Etelä-Karjalan maakunta";"Vapaarahoitteinen";"1h";12.71;1182
"2013";"Etelä-Karjalan maakunta";"Vapaarahoitteinen";"2h";10.23;1138
"2013";"Etelä-Karjalan maakunta";"Vapaarahoitteinen";"3h+";8.81;427
"2013";"Etelä-Savon maakunta";"Vapaarahoitteinen";"1h";11.72;1377
"2013";"Etelä-Savon maakunta";"Vapaarahoitteinen";"2h";9.70;1419
"2013";"Etelä-Savon maakunta";"Vapaarahoitteinen";"3h+";8.35;581
"2013";"Pohjois-Savon maakunta";"Vapaarahoitteinen";"1h";12.94;2542
"2013";"Pohjois-Savon maakunta";"Vapaarahoitteinen";"2h";10.48;2837
"2013";"Pohjois-Savon maakunta";"Vapaarahoitteinen";"3h+";9.25;1022
"2013";"Pohjois-Karjalan maakunta";"Vapaarahoitteinen";"1h";12.92;1755
"2013";"Pohjois-Karjalan maakunta";"Vapaarahoitteinen";"2h";9.81;1870
"2013";"Pohjois-Karjalan maakunta";"Vapaarahoitteinen";"3h+";8.70;732
"2013";"Keski-Suomen maakunta";"Vapaarahoitteinen";"1h";13.51;2738
"2013";"Keski-Suomen maakunta";"Vapaarahoitteinen";"2h";10.71;3301
"2013";"Keski-Suomen maakunta";"Vapaarahoitteinen";"3h+";9.38;1158
"2013";"Etelä-Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";11.18;957
"2013";"Etelä-Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";9.51;1537
"2013";"Etelä-Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";8.37;704
"2013";"Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";12.53;1022
"2013";"Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";9.75;1283
"2013";"Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";8.58;642
"2013";"Keski-Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";11.58;297
"2013";"Keski-Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";9.73;461
"2013";"Keski-Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";8.31;275
"2013";"Pohjois-Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";12.78;3564
"2013";"Pohjois-Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";10.38;4268
"2013";"Pohjois-Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";9.06;1796
"2013";"Kainuun maakunta";"Vapaarahoitteinen";"1h";12.06;635
"2013";"Kainuun maakunta";"Vapaarahoitteinen";"2h";9.80;682
"2013";"Kainuun maakunta";"Vapaarahoitteinen";"3h+";8.34;311
"2013";"Lapin maakunta";"Vapaarahoitteinen";"1h";12.52;1521
"2013";"Lapin maakunta";"Vapaarahoitteinen";"2h";9.96;1987
"2013";"Lapin maakunta";"Vapaarahoitteinen";"3h+";8.53;941
"2013";"Helsinki";"Vapaarahoitteinen";"1h";20.42;9045
"2013";"Helsinki";"Vapaarahoitteinen";"2h";15.63;6183
"2013";"Helsinki";"Vapaarahoitteinen";"3h+";13.77;2309
"2013";"Helsinki 1";"Vapaarahoitteinen";"1h";22.36;1390
"2013";"Helsinki 1";"Vapaarahoitteinen";"2h";17.03;839
"2013";"Helsinki 1";"Vapaarahoitteinen";"3h+";15.23;340
"2013";"Helsinki 2";"Vapaarahoitteinen";"1h";20.98;4377
"2013";"Helsinki 2";"Vapaarahoitteinen";"2h";16.26;2608
"2013";"Helsinki 2";"Vapaarahoitteinen";"3h+";14.08;624
"2013";"Helsinki 3";"Vapaarahoitteinen";"1h";18.44;955
"2013";"Helsinki 3";"Vapaarahoitteinen";"2h";15.02;817
"2013";"Helsinki 3";"Vapaarahoitteinen";"3h+";12.59;367
"2013";"Helsinki 4";"Vapaarahoitteinen";"1h";15.94;2323
"2013";"Helsinki 4";"Vapaarahoitteinen";"2h";13.48;1919
"2013";"Helsinki 4";"Vapaarahoitteinen";"3h+";12.39;978
"2013";"Espoo-Kauniainen";"Vapaarahoitteinen";"1h";16.93;1375
"2013";"Espoo-Kauniainen";"Vapaarahoitteinen";"2h";14.55;1459
"2013";"Espoo-Kauniainen";"Vapaarahoitteinen";"3h+";12.45;720
"2013";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"1h";18.58;263
"2013";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"2h";14.77;253
"2013";"Espoo-Kauniainen 1";"Vapaarahoitteinen";"3h+";11.59;107
"2013";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"1h";17.27;448
"2013";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"2h";15.08;603
"2013";"Espoo-Kauniainen 2";"Vapaarahoitteinen";"3h+";12.84;298
"2013";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"1h";15.69;664
"2013";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"2h";13.78;603
"2013";"Espoo-Kauniainen 3";"Vapaarahoitteinen";"3h+";12.75;315
"2013";"Vantaa";"Vapaarahoitteinen";"1h";16.13;1434
"2013";"Vantaa";"Vapaarahoitteinen";"2h";13.62;1529
"2013";"Vantaa";"Vapaarahoitteinen";"3h+";12.41;827
"2013";"Vantaa 1";"Vapaarahoitteinen";"1h";16.53;248
"2013";"Vantaa 1";"Vapaarahoitteinen";"2h";14.28;379
"2013";"Vantaa 1";"Vapaarahoitteinen";"3h+";13.19;205
"2013";"Vantaa 2";"Vapaarahoitteinen";"1h";16.00;1186
"2013";"Vantaa 2";"Vapaarahoitteinen";"2h";13.29;1150
"2013";"Vantaa 2";"Vapaarahoitteinen";"3h+";11.99;622
"2013";"Kehyskunnat";"Vapaarahoitteinen";"1h";14.15;1812
"2013";"Kehyskunnat";"Vapaarahoitteinen";"2h";11.71;1832
"2013";"Kehyskunnat";"Vapaarahoitteinen";"3h+";10.25;876
"2013";"Porvoo";"Vapaarahoitteinen";"1h";14.47;308
"2013";"Porvoo";"Vapaarahoitteinen";"2h";11.42;296
"2013";"Porvoo";"Vapaarahoitteinen";"3h+";9.63;160
"2013";"Tampere";"Vapaarahoitteinen";"1h";15.15;4499
"2013";"Tampere";"Vapaarahoitteinen";"2h";12.18;3606
"2013";"Tampere";"Vapaarahoitteinen";"3h+";10.70;1270
"2013";"Tampere 1";"Vapaarahoitteinen";"1h";16.03;2240
"2013";"Tampere 1";"Vapaarahoitteinen";"2h";12.67;1601
"2013";"Tampere 1";"Vapaarahoitteinen";"3h+";11.23;417
"2013";"Tampere 2";"Vapaarahoitteinen";"1h";13.43;727
"2013";"Tampere 2";"Vapaarahoitteinen";"2h";12.16;591
"2013";"Tampere 2";"Vapaarahoitteinen";"3h+";10.69;239
"2013";"Tampere 3";"Vapaarahoitteinen";"1h";13.83;1532
"2013";"Tampere 3";"Vapaarahoitteinen";"2h";11.30;1414
"2013";"Tampere 3";"Vapaarahoitteinen";"3h+";9.99;614
"2013";"Turku";"Vapaarahoitteinen";"1h";14.60;4306
"2013";"Turku";"Vapaarahoitteinen";"2h";11.32;3052
"2013";"Turku";"Vapaarahoitteinen";"3h+";9.82;1118
"2013";"Turku 1";"Vapaarahoitteinen";"1h";15.25;2429
"2013";"Turku 1";"Vapaarahoitteinen";"2h";12.01;1723
"2013";"Turku 1";"Vapaarahoitteinen";"3h+";10.32;483
"2013";"Turku 2";"Vapaarahoitteinen";"1h";14.35;664
"2013";"Turku 2";"Vapaarahoitteinen";"2h";11.20;396
"2013";"Turku 2";"Vapaarahoitteinen";"3h+";9.79;129
"2013";"Turku 3";"Vapaarahoitteinen";"1h";13.09;1213
"2013";"Turku 3";"Vapaarahoitteinen";"2h";10.03;933
"2013";"Turku 3";"Vapaarahoitteinen";"3h+";9.15;506
"2013";"Pori";"Vapaarahoitteinen";"1h";12.40;1381
"2013";"Pori";"Vapaarahoitteinen";"2h";9.86;1399
"2013";"Pori";"Vapaarahoitteinen";"3h+";8.61;564
"2013";"Pori 1";"Vapaarahoitteinen";"1h";13.05;789
"2013";"Pori 1";"Vapaarahoitteinen";"2h";10.69;696
"2013";"Pori 1";"Vapaarahoitteinen";"3h+";8.84;277
"2013";"Pori 2";"Vapaarahoitteinen";"1h";11.32;592
"2013";"Pori 2";"Vapaarahoitteinen";"2h";8.88;703
"2013";"Pori 2";"Vapaarahoitteinen";"3h+";8.38;287
"2013";"Rauma";"Vapaarahoitteinen";"1h";12.11;360
"2013";"Rauma";"Vapaarahoitteinen";"2h";9.23;441
"2013";"Rauma";"Vapaarahoitteinen";"3h+";8.59;200
"2013";"Lappeenranta";"Vapaarahoitteinen";"1h";13.68;687
"2013";"Lappeenranta";"Vapaarahoitteinen";"2h";10.94;645
"2013";"Lappeenranta";"Vapaarahoitteinen";"3h+";9.64;232
"2013";"Lappeenranta 1";"Vapaarahoitteinen";"1h";14.68;381
"2013";"Lappeenranta 1";"Vapaarahoitteinen";"2h";12.10;296
"2013";"Lappeenranta 1";"Vapaarahoitteinen";"3h+";10.22;76
"2013";"Lappeenranta 2";"Vapaarahoitteinen";"1h";12.01;306
"2013";"Lappeenranta 2";"Vapaarahoitteinen";"2h";9.69;349
"2013";"Lappeenranta 2";"Vapaarahoitteinen";"3h+";9.15;156
"2013";"Kotka";"Vapaarahoitteinen";"1h";12.65;799
"2013";"Kotka";"Vapaarahoitteinen";"2h";10.07;741
