"Vuosi";"Alue";"Talotyyppi";"Neliöhinta (EUR/m2)";"Kauppojen lukumäärä, varainsiirtoverotiedot vuoteen 2019 asti";"Kauppojen lukumäärä, varainsiirtoverotiedot vuodesta 2020 alkaen"
"2011";"Turku 3";"Kerrostalo kaksiot";1394;567;.
"2011";"Turku 3";"Kerrostalo kolmiot+";1334;528;.
"2011";"Satakunta";"Kerrostalo yksiöt";1624;410;.
"2011";"Satakunta";"Kerrostalo kaksiot";1353;955;.
"2011";"Satakunta";"Kerrostalo kolmiot+";1361;557;.
"2011";"Pori";"Kerrostalo yksiöt";1738;268;.
"2011";"Pori";"Kerrostalo kaksiot";1451;615;.
"2011";"Pori";"Kerrostalo kolmiot+";1438;341;.
"2011";"Pori 1";"Kerrostalo yksiöt";2034;180;.
"2011";"Pori 1";"Kerrostalo kaksiot";1839;282;.
"2011";"Pori 1";"Kerrostalo kolmiot+";1704;198;.
"2011";"Pori 2";"Kerrostalo yksiöt";1206;88;.
"2011";"Pori 2";"Kerrostalo kaksiot";990;333;.
"2011";"Pori 2";"Kerrostalo kolmiot+";1005;143;.
"2011";"Rauma";"Kerrostalo yksiöt";1707;68;.
"2011";"Rauma";"Kerrostalo kaksiot";1382;191;.
"2011";"Rauma";"Kerrostalo kolmiot+";1407;130;.
"2011";"Kanta-Häme";"Kerrostalo yksiöt";1695;371;.
"2011";"Kanta-Häme";"Kerrostalo kaksiot";1575;726;.
"2011";"Kanta-Häme";"Kerrostalo kolmiot+";1591;442;.
"2011";"Hämeenlinna";"Kerrostalo yksiöt";2032;168;.
"2011";"Hämeenlinna";"Kerrostalo kaksiot";1882;334;.
"2011";"Hämeenlinna";"Kerrostalo kolmiot+";1860;201;.
"2011";"Hämeenlinna 1";"Kerrostalo yksiöt";2374;112;.
"2011";"Hämeenlinna 1";"Kerrostalo kaksiot";2150;219;.
"2011";"Hämeenlinna 1";"Kerrostalo kolmiot+";2106;128;.
"2011";"Hämeenlinna 2";"Kerrostalo yksiöt";1388;56;.
"2011";"Hämeenlinna 2";"Kerrostalo kaksiot";1405;115;.
