"Vuosi";"Alue";"Talotyyppi";"Neliöhinta (EUR/m2)";"Kauppojen lukumäärä, varainsiirtoverotiedot vuoteen 2019 asti";"Kauppojen lukumäärä, varainsiirtoverotiedot vuodesta 2020 alkaen"
"2012";"Tampere";"Kerrostalo kaksiot";2405;1704;.
"2012";"Tampere";"Kerrostalo kolmiot+";2308;1128;.
"2012";"Tampere 1";"Kerrostalo yksiöt";3176;456;.
"2012";"Tampere 1";"Kerrostalo kaksiot";2870;781;.
"2012";"Tampere 1";"Kerrostalo kolmiot+";2893;462;.
"2012";"Tampere 2";"Kerrostalo yksiöt";2377;138;.
"2012";"Tampere 2";"Kerrostalo kaksiot";2230;332;.
"2012";"Tampere 2";"Kerrostalo kolmiot+";2153;181;.
"2012";"Tampere 3";"Kerrostalo yksiöt";2051;241;.
"2012";"Tampere 3";"Kerrostalo kaksiot";1708;591;.
"2012";"Tampere 3";"Kerrostalo kolmiot+";1577;485;.
"2012";"Päijät-Häme";"Kerrostalo yksiöt";1744;555;.
"2012";"Päijät-Häme";"Kerrostalo kaksiot";1587;1168;.
"2012";"Päijät-Häme";"Kerrostalo kolmiot+";1582;787;.
"2012";"Lahti";"Kerrostalo yksiöt";2047;353;.
"2012";"Lahti";"Kerrostalo kaksiot";1771;831;.
"2012";"Lahti";"Kerrostalo kolmiot+";1735;595;.
"2012";"Lahti 1";"Kerrostalo yksiöt";2432;153;.
"2012";"Lahti 1";"Kerrostalo kaksiot";2343;314;.
"2012";"Lahti 1";"Kerrostalo kolmiot+";2313;254;.
"2012";"Lahti 2";"Kerrostalo yksiöt";1702;200;.
"2012";"Lahti 2";"Kerrostalo kaksiot";1400;517;.
"2012";"Lahti 2";"Kerrostalo kolmiot+";1326;341;.
"2012";"Kymenlaakso";"Kerrostalo yksiöt";1211;377;.
"2012";"Kymenlaakso";"Kerrostalo kaksiot";1250;763;.
"2012";"Kymenlaakso";"Kerrostalo kolmiot+";1328;430;.
"2012";"Kotka";"Kerrostalo yksiöt";1291;173;.
"2012";"Kotka";"Kerrostalo kaksiot";1353;289;.
"2012";"Kotka";"Kerrostalo kolmiot+";1533;185;.
"2012";"Kotka 1";"Kerrostalo yksiöt";1631;75;.
"2012";"Kotka 1";"Kerrostalo kaksiot";1768;148;.
"2012";"Kotka 1";"Kerrostalo kolmiot+";1988;104;.
"2012";"Kotka 2";"Kerrostalo yksiöt";1001;98;.
"2012";"Kotka 2";"Kerrostalo kaksiot";977;141;.
"2012";"Kotka 2";"Kerrostalo kolmiot+";1054;81;.
"2012";"Kouvola";"Kerrostalo yksiöt";1149;167;.
"2012";"Kouvola";"Kerrostalo kaksiot";1180;389;.
"2012";"Kouvola";"Kerrostalo kolmiot+";1196;202;.
"2012";"Etelä-Karjala";"Kerrostalo yksiöt";1646;276;.
"2012";"Etelä-Karjala";"Kerrostalo kaksiot";1551;530;.
"2012";"Etelä-Karjala";"Kerrostalo kolmiot+";1592;319;.
"2012";"Lappeenranta";"Kerrostalo yksiöt";2030;172;.
"2012";"Lappeenranta";"Kerrostalo kaksiot";1816;367;.
"2012";"Lappeenranta";"Kerrostalo kolmiot+";1864;214;.
"2012";"Lappeenranta 1";"Kerrostalo yksiöt";2381;96;.
"2012";"Lappeenranta 1";"Kerrostalo kaksiot";2251;221;.
"2012";"Lappeenranta 1";"Kerrostalo kolmiot+";2372;96;.
"2012";"Lappeenranta 2";"Kerrostalo yksiöt";1493;76;.
"2012";"Lappeenranta 2";"Kerrostalo kaksiot";1298;146;.
"2012";"Lappeenranta 2";"Kerrostalo kolmiot+";1257;118;.
"2012";"Etelä-Savo";"Kerrostalo yksiöt";1450;275;.
"2012";"Etelä-Savo";"Kerrostalo kaksiot";1520;575;.
"2012";"Etelä-Savo";"Kerrostalo kolmiot+";1455;352;.
"2012";"Mikkeli";"Kerrostalo yksiöt";1724;133;.
"2012";"Mikkeli";"Kerrostalo kaksiot";1896;252;.
"2012";"Mikkeli";"Kerrostalo kolmiot+";1647;164;.
"2012";"Pohjois-Savo";"Kerrostalo yksiöt";1902;379;.
"2012";"Pohjois-Savo";"Kerrostalo kaksiot";1715;1031;.
"2012";"Pohjois-Savo";"Kerrostalo kolmiot+";1710;639;.
"2012";"Kuopio";"Kerrostalo yksiöt";2376;200;.
"2012";"Kuopio";"Kerrostalo kaksiot";2014;690;.
"2012";"Kuopio";"Kerrostalo kolmiot+";1905;496;.
"2012";"Kuopio 1";"Kerrostalo yksiöt";2685;100;.
"2012";"Kuopio 1";"Kerrostalo kaksiot";2354;314;.
"2012";"Kuopio 1";"Kerrostalo kolmiot+";2311;224;.
"2012";"Kuopio 2";"Kerrostalo yksiöt";1856;100;.
"2012";"Kuopio 2";"Kerrostalo kaksiot";1669;376;.
"2012";"Kuopio 2";"Kerrostalo kolmiot+";1511;272;.
"2012";"Pohjois-Karjala";"Kerrostalo yksiöt";2134;211;.
"2012";"Pohjois-Karjala";"Kerrostalo kaksiot";1798;426;.
"2012";"Pohjois-Karjala";"Kerrostalo kolmiot+";1617;248;.
"2012";"Joensuu";"Kerrostalo yksiöt";2604;139;.
"2012";"Joensuu";"Kerrostalo kaksiot";2146;270;.
"2012";"Joensuu";"Kerrostalo kolmiot+";1879;189;.
"2012";"Joensuu 1";"Kerrostalo yksiöt";2697;112;.
"2012";"Joensuu 1";"Kerrostalo kaksiot";2279;193;.
"2012";"Joensuu 1";"Kerrostalo kolmiot+";2006;126;.
"2012";"Joensuu 2";"Kerrostalo yksiöt";2156;27;.
"2012";"Joensuu 2";"Kerrostalo kaksiot";1766;77;.
"2012";"Joensuu 2";"Kerrostalo kolmiot+";1440;63;.
"2012";"Keski-Suomi";"Kerrostalo yksiöt";1788;459;.
"2012";"Keski-Suomi";"Kerrostalo kaksiot";1598;1143;.
"2012";"Keski-Suomi";"Kerrostalo kolmiot+";1575;667;.
"2012";"Jyväskylä";"Kerrostalo yksiöt";2091;316;.
"2012";"Jyväskylä";"Kerrostalo kaksiot";1795;849;.
"2012";"Jyväskylä";"Kerrostalo kolmiot+";1745;518;.
"2012";"Jyväskylä 1";"Kerrostalo yksiöt";2641;162;.
"2012";"Jyväskylä 1";"Kerrostalo kaksiot";2400;456;.
"2012";"Jyväskylä 1";"Kerrostalo kolmiot+";2345;265;.
"2012";"Jyväskylä 2";"Kerrostalo yksiöt";1495;154;.
"2012";"Jyväskylä 2";"Kerrostalo kaksiot";1297;393;.
"2012";"Jyväskylä 2";"Kerrostalo kolmiot+";1294;253;.
"2012";"Etelä-Pohjanmaa";"Kerrostalo yksiöt";1909;86;.
"2012";"Etelä-Pohjanmaa";"Kerrostalo kaksiot";1600;204;.
"2012";"Etelä-Pohjanmaa";"Kerrostalo kolmiot+";1678;141;.
"2012";"Seinäjoki";"Kerrostalo yksiöt";2291;54;.
"2012";"Seinäjoki";"Kerrostalo kaksiot";1811;150;.
"2012";"Seinäjoki";"Kerrostalo kolmiot+";1851;105;.
"2012";"Pohjanmaa";"Kerrostalo yksiöt";1998;218;.
"2012";"Pohjanmaa";"Kerrostalo kaksiot";1762;529;.
"2012";"Pohjanmaa";"Kerrostalo kolmiot+";1679;454;.
"2012";"Vaasa";"Kerrostalo yksiöt";2261;157;.
"2012";"Vaasa";"Kerrostalo kaksiot";1990;381;.
"2012";"Vaasa";"Kerrostalo kolmiot+";1860;343;.
"2012";"Vaasa 1";"Kerrostalo yksiöt";2503;113;.
"2012";"Vaasa 1";"Kerrostalo kaksiot";2200;267;.
"2012";"Vaasa 1";"Kerrostalo kolmiot+";2096;239;.
"2012";"Vaasa 2";"Kerrostalo yksiöt";1369;44;.
"2012";"Vaasa 2";"Kerrostalo kaksiot";1371;114;.
"2012";"Vaasa 2";"Kerrostalo kolmiot+";1294;104;.
"2012";"Keski-Pohjanmaa";"Kerrostalo yksiöt";1760;53;.
"2012";"Keski-Pohjanmaa";"Kerrostalo kaksiot";1642;143;.
"2012";"Keski-Pohjanmaa";"Kerrostalo kolmiot+";1548;116;.
"2012";"Kokkola";"Kerrostalo yksiöt";1804;51;.
"2012";"Kokkola";"Kerrostalo kaksiot";1700;136;.
"2012";"Kokkola";"Kerrostalo kolmiot+";1548;116;.
"2012";"Pohjois-Pohjanmaa";"Kerrostalo yksiöt";1842;395;.
"2012";"Pohjois-Pohjanmaa";"Kerrostalo kaksiot";1658;1039;.
"2012";"Pohjois-Pohjanmaa";"Kerrostalo kolmiot+";1662;667;.
"2012";"Oulu";"Kerrostalo yksiöt";1950;328;.
"2012";"Oulu";"Kerrostalo kaksiot";1744;873;.
"2012";"Oulu";"Kerrostalo kolmiot+";1736;577;.
"2012";"Oulu 1";"Kerrostalo yksiöt";2259;181;.
"2012";"Oulu 1";"Kerrostalo kaksiot";2090;481;.
"2012";"Oulu 1";"Kerrostalo kolmiot+";2137;294;.
"2012";"Oulu 2";"Kerrostalo yksiöt";1613;147;.
"2012";"Oulu 2";"Kerrostalo kaksiot";1424;392;.
"2012";"Oulu 2";"Kerrostalo kolmiot+";1369;283;.
"2012";"Kainuu";"Kerrostalo yksiöt";1546;148;.
"2012";"Kainuu";"Kerrostalo kaksiot";1336;226;.
"2012";"Kainuu";"Kerrostalo kolmiot+";1353;178;.
"2012";"Kajaani";"Kerrostalo yksiöt";1604;106;.
"2012";"Kajaani";"Kerrostalo kaksiot";1396;190;.
"2012";"Kajaani";"Kerrostalo kolmiot+";1380;144;.
"2012";"Lappi";"Kerrostalo yksiöt";1583;198;.
"2012";"Lappi";"Kerrostalo kaksiot";1376;484;.
"2012";"Lappi";"Kerrostalo kolmiot+";1343;311;.
"2012";"Rovaniemi";"Kerrostalo yksiöt";1923;120;.
"2012";"Rovaniemi";"Kerrostalo kaksiot";1635;271;.
"2012";"Rovaniemi";"Kerrostalo kolmiot+";1491;183;.
"2013";"Koko maa";"Kerrostalo yksiöt";3003;9873;.
"2013";"Koko maa";"Kerrostalo kaksiot";2374;21091;.
"2013";"Koko maa";"Kerrostalo kolmiot+";2457;14421;.
"2013";"Pääkaupunkiseutu (PKS)";"Kerrostalo yksiöt";4958;3314;.
"2013";"Pääkaupunkiseutu (PKS)";"Kerrostalo kaksiot";4036;6264;.
"2013";"Pääkaupunkiseutu (PKS)";"Kerrostalo kolmiot+";3830;5109;.
"2013";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo yksiöt";2016;6559;.
"2013";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo kaksiot";1742;14827;.
"2013";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo kolmiot+";1720;9310;.
"2013";"Suuret kaupungit (yhteensä)";"Kerrostalo yksiöt";.;.;.
"2013";"Suuret kaupungit (yhteensä)";"Kerrostalo kaksiot";.;.;.
"2013";"Suuret kaupungit (yhteensä)";"Kerrostalo kolmiot+";.;.;.
"2013";"Koko maa ilman suuria kaupunkeja";"Kerrostalo yksiöt";.;.;.
"2013";"Koko maa ilman suuria kaupunkeja";"Kerrostalo kaksiot";.;.;.
"2013";"Koko maa ilman suuria kaupunkeja";"Kerrostalo kolmiot+";.;.;.
"2013";"Uusimaa";"Kerrostalo yksiöt";4648;3918;.
"2013";"Uusimaa";"Kerrostalo kaksiot";3684;7816;.
"2013";"Uusimaa";"Kerrostalo kolmiot+";3596;6074;.
"2013";"Helsinki";"Kerrostalo yksiöt";5203;2557;.
"2013";"Helsinki";"Kerrostalo kaksiot";4310;4114;.
"2013";"Helsinki";"Kerrostalo kolmiot+";4174;3212;.
"2013";"Helsinki 1";"Kerrostalo yksiöt";...;596;.
"2013";"Helsinki 1";"Kerrostalo kaksiot";6089;666;.
"2013";"Helsinki 1";"Kerrostalo kolmiot+";6017;577;.
"2013";"Helsinki 2";"Kerrostalo yksiöt";5195;1391;.
"2013";"Helsinki 2";"Kerrostalo kaksiot";4626;1716;.
"2013";"Helsinki 2";"Kerrostalo kolmiot+";4463;1130;.
"2013";"Helsinki 3";"Kerrostalo yksiöt";...;188;.
"2013";"Helsinki 3";"Kerrostalo kaksiot";3529;563;.
"2013";"Helsinki 3";"Kerrostalo kolmiot+";3317;465;.
"2013";"Helsinki 4";"Kerrostalo yksiöt";3666;382;.
"2013";"Helsinki 4";"Kerrostalo kaksiot";2810;1169;.
"2013";"Helsinki 4";"Kerrostalo kolmiot+";2470;1040;.
"2013";"Espoo-Kauniainen";"Kerrostalo yksiöt";3931;336;.
"2013";"Espoo-Kauniainen";"Kerrostalo kaksiot";3449;1049;.
"2013";"Espoo-Kauniainen";"Kerrostalo kolmiot+";3084;1113;.
"2013";"Espoo-Kauniainen 1";"Kerrostalo yksiöt";4607;76;.
"2013";"Espoo-Kauniainen 1";"Kerrostalo kaksiot";4064;246;.
"2013";"Espoo-Kauniainen 1";"Kerrostalo kolmiot+";3724;295;.
"2013";"Espoo-Kauniainen 2";"Kerrostalo yksiöt";4097;116;.
"2013";"Espoo-Kauniainen 2";"Kerrostalo kaksiot";3701;374;.
"2013";"Espoo-Kauniainen 2";"Kerrostalo kolmiot+";3282;337;.
"2013";"Espoo-Kauniainen 3";"Kerrostalo yksiöt";3372;144;.
"2013";"Espoo-Kauniainen 3";"Kerrostalo kaksiot";2866;429;.
"2013";"Espoo-Kauniainen 3";"Kerrostalo kolmiot+";2557;481;.
"2013";"Vantaa";"Kerrostalo yksiöt";3317;421;.
"2013";"Vantaa";"Kerrostalo kaksiot";2807;1101;.
"2013";"Vantaa";"Kerrostalo kolmiot+";2587;784;.
"2013";"Vantaa 1";"Kerrostalo yksiöt";3756;63;.
"2013";"Vantaa 1";"Kerrostalo kaksiot";3224;269;.
"2013";"Vantaa 1";"Kerrostalo kolmiot+";2991;203;.
"2013";"Vantaa 2";"Kerrostalo yksiöt";2936;358;.
"2013";"Vantaa 2";"Kerrostalo kaksiot";2380;832;.
"2013";"Vantaa 2";"Kerrostalo kolmiot+";2133;581;.
"2013";"Vantaa 3";"Kerrostalo yksiöt";.;.;.
"2013";"Vantaa 3";"Kerrostalo kaksiot";.;.;.
"2013";"Vantaa 3";"Kerrostalo kolmiot+";.;.;.
"2013";"Kehyskunnat";"Kerrostalo yksiöt";2410;474;.
"2013";"Kehyskunnat";"Kerrostalo kaksiot";2029;1127;.
"2013";"Kehyskunnat";"Kerrostalo kolmiot+";1894;722;.
"2013";"Porvoo";"Kerrostalo yksiöt";2859;50;.
"2013";"Porvoo";"Kerrostalo kaksiot";2397;172;.
"2013";"Porvoo";"Kerrostalo kolmiot+";2343;107;.
"2013";"Hyvinkää";"Kerrostalo yksiöt";2209;109;.
"2013";"Hyvinkää";"Kerrostalo kaksiot";1749;307;.
"2013";"Hyvinkää";"Kerrostalo kolmiot+";1729;189;.
"2013";"Järvenpää";"Kerrostalo yksiöt";2997;71;.
"2013";"Järvenpää";"Kerrostalo kaksiot";2413;136;.
"2013";"Järvenpää";"Kerrostalo kolmiot+";2138;88;.
"2013";"Kerava";"Kerrostalo yksiöt";2843;40;.
"2013";"Kerava";"Kerrostalo kaksiot";2384;152;.
"2013";"Kerava";"Kerrostalo kolmiot+";2215;130;.
"2013";"Varsinais-Suomi";"Kerrostalo yksiöt";2318;921;.
"2013";"Varsinais-Suomi";"Kerrostalo kaksiot";1855;2051;.
"2013";"Varsinais-Suomi";"Kerrostalo kolmiot+";1789;1447;.
"2013";"Turku";"Kerrostalo yksiöt";2694;584;.
"2013";"Turku";"Kerrostalo kaksiot";2097;1253;.
"2013";"Turku";"Kerrostalo kolmiot+";1926;1027;.
"2013";"Turku 1";"Kerrostalo yksiöt";3040;324;.
"2013";"Turku 1";"Kerrostalo kaksiot";2606;550;.
"2013";"Turku 1";"Kerrostalo kolmiot+";2565;376;.
"2013";"Turku 2";"Kerrostalo yksiöt";2609;108;.
"2013";"Turku 2";"Kerrostalo kaksiot";2015;186;.
"2013";"Turku 2";"Kerrostalo kolmiot+";1818;157;.
"2013";"Turku 3";"Kerrostalo yksiöt";1845;152;.
"2013";"Turku 3";"Kerrostalo kaksiot";1454;517;.
"2013";"Turku 3";"Kerrostalo kolmiot+";1361;494;.
"2013";"Satakunta";"Kerrostalo yksiöt";1593;309;.
"2013";"Satakunta";"Kerrostalo kaksiot";1417;755;.
"2013";"Satakunta";"Kerrostalo kolmiot+";1496;430;.
"2013";"Pori";"Kerrostalo yksiöt";1769;195;.
"2013";"Pori";"Kerrostalo kaksiot";1533;425;.
"2013";"Pori";"Kerrostalo kolmiot+";1631;246;.
"2013";"Pori 1";"Kerrostalo yksiöt";2096;117;.
"2013";"Pori 1";"Kerrostalo kaksiot";1981;211;.
"2013";"Pori 1";"Kerrostalo kolmiot+";1969;140;.
"2013";"Pori 2";"Kerrostalo yksiöt";1180;78;.
"2013";"Pori 2";"Kerrostalo kaksiot";1000;214;.
"2013";"Pori 2";"Kerrostalo kolmiot+";1083;106;.
"2013";"Rauma";"Kerrostalo yksiöt";1517;59;.
"2013";"Rauma";"Kerrostalo kaksiot";1388;162;.
"2013";"Rauma";"Kerrostalo kolmiot+";1498;92;.
"2013";"Kanta-Häme";"Kerrostalo yksiöt";1802;322;.
"2013";"Kanta-Häme";"Kerrostalo kaksiot";1641;651;.
"2013";"Kanta-Häme";"Kerrostalo kolmiot+";1579;384;.
"2013";"Hämeenlinna";"Kerrostalo yksiöt";2195;148;.
"2013";"Hämeenlinna";"Kerrostalo kaksiot";1981;281;.
"2013";"Hämeenlinna";"Kerrostalo kolmiot+";1893;174;.
"2013";"Hämeenlinna 1";"Kerrostalo yksiöt";2442;102;.
"2013";"Hämeenlinna 1";"Kerrostalo kaksiot";2231;180;.
"2013";"Hämeenlinna 1";"Kerrostalo kolmiot+";2127;117;.
"2013";"Hämeenlinna 2";"Kerrostalo yksiöt";1732;46;.
"2013";"Hämeenlinna 2";"Kerrostalo kaksiot";1535;101;.
"2013";"Hämeenlinna 2";"Kerrostalo kolmiot+";1394;57;.
"2013";"Riihimäki";"Kerrostalo yksiöt";1822;84;.
"2013";"Riihimäki";"Kerrostalo kaksiot";1644;193;.
"2013";"Riihimäki";"Kerrostalo kolmiot+";1448;114;.
"2013";"Pirkanmaa";"Kerrostalo yksiöt";2516;1067;.
"2013";"Pirkanmaa";"Kerrostalo kaksiot";2166;2168;.
"2013";"Pirkanmaa";"Kerrostalo kolmiot+";2097;1405;.
"2013";"Tampere";"Kerrostalo yksiöt";2880;735;.
"2013";"Tampere";"Kerrostalo kaksiot";2464;1460;.
"2013";"Tampere";"Kerrostalo kolmiot+";2379;936;.
"2013";"Tampere 1";"Kerrostalo yksiöt";3361;368;.
"2013";"Tampere 1";"Kerrostalo kaksiot";2935;655;.
"2013";"Tampere 1";"Kerrostalo kolmiot+";2993;420;.
"2013";"Tampere 2";"Kerrostalo yksiöt";2344;114;.
"2013";"Tampere 2";"Kerrostalo kaksiot";2297;281;.
"2013";"Tampere 2";"Kerrostalo kolmiot+";2153;117;.
"2013";"Tampere 3";"Kerrostalo yksiöt";2155;253;.
"2013";"Tampere 3";"Kerrostalo kaksiot";1750;524;.
"2013";"Tampere 3";"Kerrostalo kolmiot+";1646;399;.
"2013";"Päijät-Häme";"Kerrostalo yksiöt";1767;496;.
"2013";"Päijät-Häme";"Kerrostalo kaksiot";1602;1148;.
"2013";"Päijät-Häme";"Kerrostalo kolmiot+";1599;724;.
"2013";"Lahti";"Kerrostalo yksiöt";2030;324;.
"2013";"Lahti";"Kerrostalo kaksiot";1792;861;.
"2013";"Lahti";"Kerrostalo kolmiot+";1766;549;.
"2013";"Lahti 1";"Kerrostalo yksiöt";2446;178;.
"2013";"Lahti 1";"Kerrostalo kaksiot";2436;318;.
"2013";"Lahti 1";"Kerrostalo kolmiot+";2365;233;.
"2013";"Lahti 2";"Kerrostalo yksiöt";1657;146;.
"2013";"Lahti 2";"Kerrostalo kaksiot";1374;543;.
"2013";"Lahti 2";"Kerrostalo kolmiot+";1343;316;.
"2013";"Kymenlaakso";"Kerrostalo yksiöt";1257;367;.
"2013";"Kymenlaakso";"Kerrostalo kaksiot";1224;646;.
"2013";"Kymenlaakso";"Kerrostalo kolmiot+";1265;354;.
"2013";"Kotka";"Kerrostalo yksiöt";1336;163;.
"2013";"Kotka";"Kerrostalo kaksiot";1314;254;.
"2013";"Kotka";"Kerrostalo kolmiot+";1371;152;.
"2013";"Kotka 1";"Kerrostalo yksiöt";1664;87;.
"2013";"Kotka 1";"Kerrostalo kaksiot";1611;147;.
"2013";"Kotka 1";"Kerrostalo kolmiot+";1776;73;.
"2013";"Kotka 2";"Kerrostalo yksiöt";1056;76;.
"2013";"Kotka 2";"Kerrostalo kaksiot";1046;107;.
"2013";"Kotka 2";"Kerrostalo kolmiot+";944;79;.
"2013";"Kouvola";"Kerrostalo yksiöt";1207;171;.
"2013";"Kouvola";"Kerrostalo kaksiot";1183;334;.
"2013";"Kouvola";"Kerrostalo kolmiot+";1188;179;.
"2013";"Etelä-Karjala";"Kerrostalo yksiöt";1657;260;.
"2013";"Etelä-Karjala";"Kerrostalo kaksiot";1602;539;.
"2013";"Etelä-Karjala";"Kerrostalo kolmiot+";1659;291;.
"2013";"Lappeenranta";"Kerrostalo yksiöt";2019;188;.
"2013";"Lappeenranta";"Kerrostalo kaksiot";1857;379;.
"2013";"Lappeenranta";"Kerrostalo kolmiot+";1895;221;.
"2013";"Lappeenranta 1";"Kerrostalo yksiöt";2358;108;.
"2013";"Lappeenranta 1";"Kerrostalo kaksiot";2322;200;.
"2013";"Lappeenranta 1";"Kerrostalo kolmiot+";2418;103;.
"2013";"Lappeenranta 2";"Kerrostalo yksiöt";1500;80;.
"2013";"Lappeenranta 2";"Kerrostalo kaksiot";1302;179;.
"2013";"Lappeenranta 2";"Kerrostalo kolmiot+";1269;118;.
"2013";"Etelä-Savo";"Kerrostalo yksiöt";1647;238;.
"2013";"Etelä-Savo";"Kerrostalo kaksiot";1495;456;.
"2013";"Etelä-Savo";"Kerrostalo kolmiot+";1556;261;.
"2013";"Mikkeli";"Kerrostalo yksiöt";2089;93;.
"2013";"Mikkeli";"Kerrostalo kaksiot";1869;219;.
"2013";"Mikkeli";"Kerrostalo kolmiot+";1783;129;.
"2013";"Pohjois-Savo";"Kerrostalo yksiöt";1872;304;.
"2013";"Pohjois-Savo";"Kerrostalo kaksiot";1719;922;.
"2013";"Pohjois-Savo";"Kerrostalo kolmiot+";1761;541;.
"2013";"Kuopio";"Kerrostalo yksiöt";2393;172;.
"2013";"Kuopio";"Kerrostalo kaksiot";2053;652;.
"2013";"Kuopio";"Kerrostalo kolmiot+";1953;404;.
"2013";"Kuopio 1";"Kerrostalo yksiöt";2679;104;.
"2013";"Kuopio 1";"Kerrostalo kaksiot";2424;336;.
"2013";"Kuopio 1";"Kerrostalo kolmiot+";2396;197;.
"2013";"Kuopio 2";"Kerrostalo yksiöt";1912;68;.
"2013";"Kuopio 2";"Kerrostalo kaksiot";1676;316;.
"2013";"Kuopio 2";"Kerrostalo kolmiot+";1523;207;.
"2013";"Pohjois-Karjala";"Kerrostalo yksiöt";2215;178;.
"2013";"Pohjois-Karjala";"Kerrostalo kaksiot";1849;351;.
"2013";"Pohjois-Karjala";"Kerrostalo kolmiot+";1728;192;.
"2013";"Joensuu";"Kerrostalo yksiöt";2721;117;.
"2013";"Joensuu";"Kerrostalo kaksiot";2253;225;.
"2013";"Joensuu";"Kerrostalo kolmiot+";1996;140;.
"2013";"Joensuu 1";"Kerrostalo yksiöt";2822;101;.
"2013";"Joensuu 1";"Kerrostalo kaksiot";2410;151;.
"2013";"Joensuu 1";"Kerrostalo kolmiot+";2124;102;.
"2013";"Joensuu 2";"Kerrostalo yksiöt";2228;16;.
"2013";"Joensuu 2";"Kerrostalo kaksiot";1806;74;.
"2013";"Joensuu 2";"Kerrostalo kolmiot+";1557;38;.
"2013";"Keski-Suomi";"Kerrostalo yksiöt";1875;498;.
"2013";"Keski-Suomi";"Kerrostalo kaksiot";1632;1090;.
"2013";"Keski-Suomi";"Kerrostalo kolmiot+";1557;615;.
"2013";"Jyväskylä";"Kerrostalo yksiöt";2212;341;.
"2013";"Jyväskylä";"Kerrostalo kaksiot";1837;837;.
"2013";"Jyväskylä";"Kerrostalo kolmiot+";1699;478;.
"2013";"Jyväskylä 1";"Kerrostalo yksiöt";2780;159;.
"2013";"Jyväskylä 1";"Kerrostalo kaksiot";2452;446;.
"2013";"Jyväskylä 1";"Kerrostalo kolmiot+";2327;230;.
"2013";"Jyväskylä 2";"Kerrostalo yksiöt";1596;182;.
"2013";"Jyväskylä 2";"Kerrostalo kaksiot";1331;391;.
"2013";"Jyväskylä 2";"Kerrostalo kolmiot+";1227;248;.
"2013";"Etelä-Pohjanmaa";"Kerrostalo yksiöt";1910;75;.
"2013";"Etelä-Pohjanmaa";"Kerrostalo kaksiot";1715;181;.
"2013";"Etelä-Pohjanmaa";"Kerrostalo kolmiot+";1592;153;.
"2013";"Seinäjoki";"Kerrostalo yksiöt";2209;49;.
"2013";"Seinäjoki";"Kerrostalo kaksiot";1954;139;.
"2013";"Seinäjoki";"Kerrostalo kolmiot+";1779;117;.
"2013";"Pohjanmaa";"Kerrostalo yksiöt";2108;206;.
"2013";"Pohjanmaa";"Kerrostalo kaksiot";1801;494;.
"2013";"Pohjanmaa";"Kerrostalo kolmiot+";1717;375;.
"2013";"Vaasa";"Kerrostalo yksiöt";2366;153;.
"2013";"Vaasa";"Kerrostalo kaksiot";2059;329;.
"2013";"Vaasa";"Kerrostalo kolmiot+";1878;283;.
"2013";"Vaasa 1";"Kerrostalo yksiöt";2588;109;.
"2013";"Vaasa 1";"Kerrostalo kaksiot";2309;235;.
"2013";"Vaasa 1";"Kerrostalo kolmiot+";2131;190;.
"2013";"Vaasa 2";"Kerrostalo yksiöt";1549;44;.
"2013";"Vaasa 2";"Kerrostalo kaksiot";1322;94;.
"2013";"Vaasa 2";"Kerrostalo kolmiot+";1272;93;.
"2013";"Keski-Pohjanmaa";"Kerrostalo yksiöt";2175;33;.
"2013";"Keski-Pohjanmaa";"Kerrostalo kaksiot";1626;135;.
"2013";"Keski-Pohjanmaa";"Kerrostalo kolmiot+";1700;93;.
"2013";"Kokkola";"Kerrostalo yksiöt";2238;27;.
"2013";"Kokkola";"Kerrostalo kaksiot";1674;121;.
"2013";"Kokkola";"Kerrostalo kolmiot+";1718;90;.
"2013";"Pohjois-Pohjanmaa";"Kerrostalo yksiöt";1949;403;.
"2013";"Pohjois-Pohjanmaa";"Kerrostalo kaksiot";1718;1043;.
"2013";"Pohjois-Pohjanmaa";"Kerrostalo kolmiot+";1720;664;.
"2013";"Oulu";"Kerrostalo yksiöt";2067;306;.
"2013";"Oulu";"Kerrostalo kaksiot";1772;851;.
"2013";"Oulu";"Kerrostalo kolmiot+";1763;577;.
"2013";"Oulu 1";"Kerrostalo yksiöt";2438;174;.
"2013";"Oulu 1";"Kerrostalo kaksiot";2157;514;.
"2013";"Oulu 1";"Kerrostalo kolmiot+";2210;305;.
"2013";"Oulu 2";"Kerrostalo yksiöt";1662;132;.
"2013";"Oulu 2";"Kerrostalo kaksiot";1417;337;.
"2013";"Oulu 2";"Kerrostalo kolmiot+";1354;272;.
"2013";"Kainuu";"Kerrostalo yksiöt";1570;97;.
"2013";"Kainuu";"Kerrostalo kaksiot";1322;220;.
"2013";"Kainuu";"Kerrostalo kolmiot+";1285;131;.
"2013";"Kajaani";"Kerrostalo yksiöt";1646;60;.
"2013";"Kajaani";"Kerrostalo kaksiot";1367;180;.
"2013";"Kajaani";"Kerrostalo kolmiot+";1276;106;.
"2013";"Lappi";"Kerrostalo yksiöt";1479;181;.
"2013";"Lappi";"Kerrostalo kaksiot";1327;425;.
"2013";"Lappi";"Kerrostalo kolmiot+";1262;285;.
"2013";"Rovaniemi";"Kerrostalo yksiöt";1918;104;.
"2013";"Rovaniemi";"Kerrostalo kaksiot";1624;230;.
